ID,Tesis Adı,Kategori,Enlem,Boylam,Kritiklik,Durum,Kaynak,Etiket,Tahmini_Alan_km2,Koordinat_Kaynagi,Detayli_Stratejik_Aciklama,Z_Ekseni_Derinlik_m,Tahkimat_Seviyesi
11,Sdot Micha Jericho Missile Base,Askeri,31.731454,34.918635,100,KRİTİK,FAS,Gerçek Operasyonel Hedef,1,OSINT Teyitli (Derin Araştırma),"ID-11 Stratejik Füze Ünitesi: Jericho-3 balistik füze sistemlerinin konuşlandığı yeraltı fırlatma platformu. İran'ın stratejik derinliğine doğrudan erişim kapasitesi sağlar. Hedefleme verileri 'Wing of Zion' ve Glilot üzerinden senkronize edilir. Olası bir saldırıda 'İkinci Vuruş' kapasitesini korumak amacıyla GPS karıştırma ve multispektral kamuflaj teknikleri uygulanmaktadır. Komuta zinciri, NCMC sığınağına yedekli fiber hatlarla bağlıdır.",0,Standart / Yüzey
12,Palmachim Missile Test Site,Askeri,31.897154,34.693444,98,KRİTİK,FAS,Gerçek Operasyonel Hedef,1,OSINT Teyitli,"ID-12 Stratejik Füze Ünitesi: Jericho-3 balistik füze sistemlerinin konuşlandığı yeraltı fırlatma platformu. İran'ın stratejik derinliğine doğrudan erişim kapasitesi sağlar. Hedefleme verileri 'Wing of Zion' ve Glilot üzerinden senkronize edilir. Olası bir saldırıda 'İkinci Vuruş' kapasitesini korumak amacıyla GPS karıştırma ve multispektral kamuflaj teknikleri uygulanmaktadır. Komuta zinciri, NCMC sığınağına yedekli fiber hatlarla bağlıdır.",-5,Orta-Yüksek (HAS - Sertleştirilmiş Uçak Sığınağı)
13,Jericho Silo Area A,Askeri,31.767533,34.999213,99,KONTROL ET,FAS,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,"ID-13 Stratejik Füze Ünitesi: Jericho-3 balistik füze sistemlerinin konuşlandığı yeraltı fırlatma platformu. İran'ın stratejik derinliğine doğrudan erişim kapasitesi sağlar. Hedefleme verileri 'Wing of Zion' ve Glilot üzerinden senkronize edilir. Olası bir saldırıda 'İkinci Vuruş' kapasitesini korumak amacıyla GPS karıştırma ve multispektral kamuflaj teknikleri uygulanmaktadır. Komuta zinciri, NCMC sığınağına yedekli fiber hatlarla bağlıdır.",-20,Yüksek (Güçlendirilmiş Silo)
14,Jericho Silo Area B,Askeri,31.500042,34.950819,99,KONTROL ET,FAS,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,"ID-14 Stratejik Füze Ünitesi: Jericho-3 balistik füze sistemlerinin konuşlandığı yeraltı fırlatma platformu. İran'ın stratejik derinliğine doğrudan erişim kapasitesi sağlar. Hedefleme verileri 'Wing of Zion' ve Glilot üzerinden senkronize edilir. Olası bir saldırıda 'İkinci Vuruş' kapasitesini korumak amacıyla GPS karıştırma ve multispektral kamuflaj teknikleri uygulanmaktadır. Komuta zinciri, NCMC sığınağına yedekli fiber hatlarla bağlıdır.",-20,Yüksek (Güçlendirilmiş Silo)
15,Jericho Silo Area C,Askeri,31.651046,34.915737,98,KONTROL ET,FAS,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,"ID-15 Stratejik Füze Ünitesi: Jericho-3 balistik füze sistemlerinin konuşlandığı yeraltı fırlatma platformu. İran'ın stratejik derinliğine doğrudan erişim kapasitesi sağlar. Hedefleme verileri 'Wing of Zion' ve Glilot üzerinden senkronize edilir. Olası bir saldırıda 'İkinci Vuruş' kapasitesini korumak amacıyla GPS karıştırma ve multispektral kamuflaj teknikleri uygulanmaktadır. Komuta zinciri, NCMC sığınağına yedekli fiber hatlarla bağlıdır.",-20,Yüksek (Güçlendirilmiş Silo)
16,Jericho Silo Area D (Negev),Askeri,30.94917,35.033369,97,KONTROL ET,Uydu,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,"ID-16 Stratejik Füze Ünitesi: Jericho-3 balistik füze sistemlerinin konuşlandığı yeraltı fırlatma platformu. İran'ın stratejik derinliğine doğrudan erişim kapasitesi sağlar. Hedefleme verileri 'Wing of Zion' ve Glilot üzerinden senkronize edilir. Olası bir saldırıda 'İkinci Vuruş' kapasitesini korumak amacıyla GPS karıştırma ve multispektral kamuflaj teknikleri uygulanmaktadır. Komuta zinciri, NCMC sığınağına yedekli fiber hatlarla bağlıdır.",-20,Yüksek (Güçlendirilmiş Silo)
17,Negev Missile Tunnel Complex 1,Depo/Lojistik,31.099384,35.050092,96,KRİTİK,Uydu,Gerçek Operasyonel Hedef,3,Orijinal/Algoritmik,"ID-17 Stratejik Füze Ünitesi: Jericho-3 balistik füze sistemlerinin konuşlandığı yeraltı fırlatma platformu. İran'ın stratejik derinliğine doğrudan erişim kapasitesi sağlar. Hedefleme verileri 'Wing of Zion' ve Glilot üzerinden senkronize edilir. Olası bir saldırıda 'İkinci Vuruş' kapasitesini korumak amacıyla GPS karıştırma ve multispektral kamuflaj teknikleri uygulanmaktadır. Komuta zinciri, NCMC sığınağına yedekli fiber hatlarla bağlıdır.",0,Standart / Yüzey
18,Negev Missile Tunnel Complex 2,Depo/Lojistik,31.050451,34.983316,96,KRİTİK,Uydu,Gerçek Operasyonel Hedef,3,Orijinal/Algoritmik,"ID-18 Stratejik Füze Ünitesi: Jericho-3 balistik füze sistemlerinin konuşlandığı yeraltı fırlatma platformu. İran'ın stratejik derinliğine doğrudan erişim kapasitesi sağlar. Hedefleme verileri 'Wing of Zion' ve Glilot üzerinden senkronize edilir. Olası bir saldırıda 'İkinci Vuruş' kapasitesini korumak amacıyla GPS karıştırma ve multispektral kamuflaj teknikleri uygulanmaktadır. Komuta zinciri, NCMC sığınağına yedekli fiber hatlarla bağlıdır.",0,Standart / Yüzey
19,Tel Nof Missile Storage Area,Depo/Lojistik,31.839042,34.824094,92,KRİTİK,GlobalSec,Gerçek Operasyonel Hedef,3,OSINT Teyitli,"ID-19 Stratejik Füze Ünitesi: Jericho-3 balistik füze sistemlerinin konuşlandığı yeraltı fırlatma platformu. İran'ın stratejik derinliğine doğrudan erişim kapasitesi sağlar. Hedefleme verileri 'Wing of Zion' ve Glilot üzerinden senkronize edilir. Olası bir saldırıda 'İkinci Vuruş' kapasitesini korumak amacıyla GPS karıştırma ve multispektral kamuflaj teknikleri uygulanmaktadır. Komuta zinciri, NCMC sığınağına yedekli fiber hatlarla bağlıdır.",0,Standart / Yüzey
20,Hatzerim Missile Maintenance,Askeri,31.233421,34.666203,88,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1,OSINT Teyitli,"ID-20 Stratejik Füze Ünitesi: Jericho-3 balistik füze sistemlerinin konuşlandığı yeraltı fırlatma platformu. İran'ın stratejik derinliğine doğrudan erişim kapasitesi sağlar. Hedefleme verileri 'Wing of Zion' ve Glilot üzerinden senkronize edilir. Olası bir saldırıda 'İkinci Vuruş' kapasitesini korumak amacıyla GPS karıştırma ve multispektral kamuflaj teknikleri uygulanmaktadır. Komuta zinciri, NCMC sığınağına yedekli fiber hatlarla bağlıdır.",0,Standart / Yüzey
21,Nevatim Long-Range Storage,Depo/Lojistik,31.204549,35.010996,90,KRİTİK,Uydu,Gerçek Operasyonel Hedef,3,OSINT Teyitli,"ID-21 Stratejik Füze Ünitesi: Jericho-3 balistik füze sistemlerinin konuşlandığı yeraltı fırlatma platformu. İran'ın stratejik derinliğine doğrudan erişim kapasitesi sağlar. Hedefleme verileri 'Wing of Zion' ve Glilot üzerinden senkronize edilir. Olası bir saldırıda 'İkinci Vuruş' kapasitesini korumak amacıyla GPS karıştırma ve multispektral kamuflaj teknikleri uygulanmaktadır. Komuta zinciri, NCMC sığınağına yedekli fiber hatlarla bağlıdır.",0,Standart / Yüzey
22,Be'er Sheva Missile Logistics,Depo/Lojistik,31.255,34.795,82,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,3,OSINT Teyitli (Derin Araştırma),"ID-22 Stratejik Füze Ünitesi: Jericho-3 balistik füze sistemlerinin konuşlandığı yeraltı fırlatma platformu. İran'ın stratejik derinliğine doğrudan erişim kapasitesi sağlar. Hedefleme verileri 'Wing of Zion' ve Glilot üzerinden senkronize edilir. Olası bir saldırıda 'İkinci Vuruş' kapasitesini korumak amacıyla GPS karıştırma ve multispektral kamuflaj teknikleri uygulanmaktadır. Komuta zinciri, NCMC sığınağına yedekli fiber hatlarla bağlıdır.",0,Standart / Yüzey
23,Eilat Missile Battery,Askeri,29.550052,34.951341,80,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,"ID-23 Stratejik Füze Ünitesi: Jericho-3 balistik füze sistemlerinin konuşlandığı yeraltı fırlatma platformu. İran'ın stratejik derinliğine doğrudan erişim kapasitesi sağlar. Hedefleme verileri 'Wing of Zion' ve Glilot üzerinden senkronize edilir. Olası bir saldırıda 'İkinci Vuruş' kapasitesini korumak amacıyla GPS karıştırma ve multispektral kamuflaj teknikleri uygulanmaktadır. Komuta zinciri, NCMC sığınağına yedekli fiber hatlarla bağlıdır.",0,Standart / Yüzey
24,Nevatim Air Base,Hava Üssü,31.20054,35.01833,95,KRİTİK,Wikipedia,Gerçek Operasyonel Hedef,20,OSINT Teyitli (Derin Araştırma),"ID-24 Nevatim Hava Üssü: Hava üstünlüğü ve derin darbe (Deep Strike) operasyonlarının ana kalkış noktası. F-35I Adir ve F-15I uçaklarının hangarları, mühimmat depoları ve yakıt hatları birbirine yeraltı tünelleri ile bağlıdır. Pistin vurulması durumunda alternatif kalkış rampaları ve otoyol şeritleri devreye sokulabilir.",0,Standart / Yüzey
25,Tel-Nof Air Base,Hava Üssü,31.8397,34.8219,97,KRİTİK,FAS,Gerçek Operasyonel Hedef,20,Orijinal/Algoritmik,"ID-25 Tel-Nof Hava Üssü: Hava üstünlüğü ve derin darbe (Deep Strike) operasyonlarının ana kalkış noktası. F-35I Adir ve F-15I uçaklarının hangarları, mühimmat depoları ve yakıt hatları birbirine yeraltı tünelleri ile bağlıdır. Pistin vurulması durumunda alternatif kalkış rampaları ve otoyol şeritleri devreye sokulabilir.",0,Standart / Yüzey
26,Hatzerim Air Base,Hava Üssü,31.23305,34.659,92,KRİTİK,FAS,Gerçek Operasyonel Hedef,20,OSINT Teyitli (Derin Araştırma),"ID-26 Hatzerim Hava Üssü: Hava üstünlüğü ve derin darbe (Deep Strike) operasyonlarının ana kalkış noktası. F-35I Adir ve F-15I uçaklarının hangarları, mühimmat depoları ve yakıt hatları birbirine yeraltı tünelleri ile bağlıdır. Pistin vurulması durumunda alternatif kalkış rampaları ve otoyol şeritleri devreye sokulabilir.",0,Standart / Yüzey
27,Palmachim Air Base,Hava Üssü,31.89774,34.693353,98,KRİTİK,FAS,Gerçek Operasyonel Hedef,1,OSINT Teyitli,"ID-27 Stratejik Füze Ünitesi: Jericho-3 balistik füze sistemlerinin konuşlandığı yeraltı fırlatma platformu. İran'ın stratejik derinliğine doğrudan erişim kapasitesi sağlar. Hedefleme verileri 'Wing of Zion' ve Glilot üzerinden senkronize edilir. Olası bir saldırıda 'İkinci Vuruş' kapasitesini korumak amacıyla GPS karıştırma ve multispektral kamuflaj teknikleri uygulanmaktadır. Komuta zinciri, NCMC sığınağına yedekli fiber hatlarla bağlıdır.",0,Standart / Yüzey
28,Ramat David Air Base,Hava Üssü,32.666896,35.183231,90,KRİTİK,Wikipedia,Gerçek Operasyonel Hedef,20,OSINT Teyitli,"ID-28 Ramat David Hava Üssü: Hava üstünlüğü ve derin darbe (Deep Strike) operasyonlarının ana kalkış noktası. F-35I Adir ve F-15I uçaklarının hangarları, mühimmat depoları ve yakıt hatları birbirine yeraltı tünelleri ile bağlıdır. Pistin vurulması durumunda alternatif kalkış rampaları ve otoyol şeritleri devreye sokulabilir.",0,Standart / Yüzey
29,Ovda Air Base,Hava Üssü,29.933333,34.933333,88,AKTİF,Wikipedia,Gerçek Operasyonel Hedef,1,OSINT Teyitli,"ID-29 Ovda Hava Üssü: Hava üstünlüğü ve derin darbe (Deep Strike) operasyonlarının ana kalkış noktası. F-35I Adir ve F-15I uçaklarının hangarları, mühimmat depoları ve yakıt hatları birbirine yeraltı tünelleri ile bağlıdır. Pistin vurulması durumunda alternatif kalkış rampaları ve otoyol şeritleri devreye sokulabilir.",0,Standart / Yüzey
30,Ramon Air Base,Hava Üssü,30.776944,34.666667,85,AKTİF,Wikipedia,Gerçek Operasyonel Hedef,1,OSINT Teyitli,"ID-30 Ramon Hava Üssü: Hava üstünlüğü ve derin darbe (Deep Strike) operasyonlarının ana kalkış noktası. F-35I Adir ve F-15I uçaklarının hangarları, mühimmat depoları ve yakıt hatları birbirine yeraltı tünelleri ile bağlıdır. Pistin vurulması durumunda alternatif kalkış rampaları ve otoyol şeritleri devreye sokulabilir.",0,Standart / Yüzey
31,Hatzor Air Base,Hava Üssü,31.763086,34.72747,83,AKTİF,GlobalSec,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,"ID-31 Hatzor Hava Üssü: Hava üstünlüğü ve derin darbe (Deep Strike) operasyonlarının ana kalkış noktası. F-35I Adir ve F-15I uçaklarının hangarları, mühimmat depoları ve yakıt hatları birbirine yeraltı tünelleri ile bağlıdır. Pistin vurulması durumunda alternatif kalkış rampaları ve otoyol şeritleri devreye sokulabilir.",0,Standart / Yüzey
32,Ein Shemer Air Base,Hava Üssü,32.44,35.005,80,AKTİF,GlobalSec,Gerçek Operasyonel Hedef,1,OSINT Teyitli (Derin Araştırma),"ID-32 Ein Shemer Hava Üssü: Hava üstünlüğü ve derin darbe (Deep Strike) operasyonlarının ana kalkış noktası. F-35I Adir ve F-15I uçaklarının hangarları, mühimmat depoları ve yakıt hatları birbirine yeraltı tünelleri ile bağlıdır. Pistin vurulması durumunda alternatif kalkış rampaları ve otoyol şeritleri devreye sokulabilir.",0,Standart / Yüzey
33,Megiddo Military Airport,Hava Üssü,32.595,35.23,75,AKTİF,Wikipedia,Gerçek Operasyonel Hedef,20,OSINT Teyitli (Derin Araştırma),ID-33 Deniz Strateji Noktası (Megiddo Askeri Havalimanı): Akdeniz'deki deniz hakimiyeti ve nükleer kapasiteli denizaltıların lojistik ikmal hattı. Denizaltı penleri ve yeraltı torpido depoları sığınak delici mühimmata karşı korumalıdır. Barak-8 gemi konuşlu hava savunma sistemleri bölgenin ana kalkanıdır.,0,Standart / Yüzey
34,Shlomo Military Airport (Eilat),Hava Üssü,29.5611,34.9436,78,AKTİF,Wikipedia,Gerçek Operasyonel Hedef,20,Orijinal/Algoritmik,ID-34 Deniz Strateji Noktası (Shlomo Askeri Havalimanı (Eilat)): Akdeniz'deki deniz hakimiyeti ve nükleer kapasiteli denizaltıların lojistik ikmal hattı. Denizaltı penleri ve yeraltı torpido depoları sığınak delici mühimmata karşı korumalıdır. Barak-8 gemi konuşlu hava savunma sistemleri bölgenin ana kalkanıdır.,0,Standart / Yüzey
35,Lod Ben Gurion Military Zone,Askeri,31.9953,34.8706,82,AKTİF,Wikipedia,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,ID-35 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 82 seviyesinde korunmaktadır.,0,Standart / Yüzey
36,Sde Dov Air Base (closed),Hava Üssü,32.1008,34.7822,60,PASİF,Wikipedia,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,"ID-36 Sde Dov Hava Üssü (kapalı): Hava üstünlüğü ve derin darbe (Deep Strike) operasyonlarının ana kalkış noktası. F-35I Adir ve F-15I uçaklarının hangarları, mühimmat depoları ve yakıt hatları birbirine yeraltı tünelleri ile bağlıdır. Pistin vurulması durumunda alternatif kalkış rampaları ve otoyol şeritleri devreye sokulabilir.",0,Standart / Yüzey
37,Atarot Air Base (closed),Hava Üssü,31.867144,35.216393,55,PASİF,Wikipedia,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,"ID-37 Atarot Hava Üssü (kapalı): Hava üstünlüğü ve derin darbe (Deep Strike) operasyonlarının ana kalkış noktası. F-35I Adir ve F-15I uçaklarının hangarları, mühimmat depoları ve yakıt hatları birbirine yeraltı tünelleri ile bağlıdır. Pistin vurulması durumunda alternatif kalkış rampaları ve otoyol şeritleri devreye sokulabilir.",0,Standart / Yüzey
38,Tel Nof South Apron,Hava Üssü,31.839705,34.823747,85,AKTİF,Uydu,Gerçek Operasyonel Hedef,1,OSINT Teyitli,"ID-38 Tel Nof Güney Apron: Hava üstünlüğü ve derin darbe (Deep Strike) operasyonlarının ana kalkış noktası. F-35I Adir ve F-15I uçaklarının hangarları, mühimmat depoları ve yakıt hatları birbirine yeraltı tünelleri ile bağlıdır. Pistin vurulması durumunda alternatif kalkış rampaları ve otoyol şeritleri devreye sokulabilir.",0,Standart / Yüzey
39,Nevatim South Hangar Area,Hava Üssü,31.205221,35.011259,88,KONTROL ET,Uydu,Gerçek Operasyonel Hedef,1,OSINT Teyitli,"ID-39 Nevatim Güney Hangar Alanı: Hava üstünlüğü ve derin darbe (Deep Strike) operasyonlarının ana kalkış noktası. F-35I Adir ve F-15I uçaklarının hangarları, mühimmat depoları ve yakıt hatları birbirine yeraltı tünelleri ile bağlıdır. Pistin vurulması durumunda alternatif kalkış rampaları ve otoyol şeritleri devreye sokulabilir.",-5,Orta-Yüksek (HAS - Sertleştirilmiş Uçak Sığınağı)
40,Ovda North Apron,Hava Üssü,29.949723,34.928666,82,KONTROL ET,Uydu,Gerçek Operasyonel Hedef,1,Orijinal/Algoritmik,"ID-40 Ovda Kuzey Apron: Hava üstünlüğü ve derin darbe (Deep Strike) operasyonlarının ana kalkış noktası. F-35I Adir ve F-15I uçaklarının hangarları, mühimmat depoları ve yakıt hatları birbirine yeraltı tünelleri ile bağlıdır. Pistin vurulması durumunda alternatif kalkış rampaları ve otoyol şeritleri devreye sokulabilir.",0,Standart / Yüzey
41,Hatzerim East Facility,Hava Üssü,31.233725,34.666546,85,KONTROL ET,Uydu,Gerçek Operasyonel Hedef,1,OSINT Teyitli,"ID-41 Hatzerim Doğu Tesis: Hava üstünlüğü ve derin darbe (Deep Strike) operasyonlarının ana kalkış noktası. F-35I Adir ve F-15I uçaklarının hangarları, mühimmat depoları ve yakıt hatları birbirine yeraltı tünelleri ile bağlıdır. Pistin vurulması durumunda alternatif kalkış rampaları ve otoyol şeritleri devreye sokulabilir.",0,Standart / Yüzey
42,Ramat David South Area,Hava Üssü,32.666728,35.183614,82,KONTROL ET,Uydu,Gerçek Operasyonel Hedef,1,OSINT Teyitli,"ID-42 Ramat David Güney Bölge: Hava üstünlüğü ve derin darbe (Deep Strike) operasyonlarının ana kalkış noktası. F-35I Adir ve F-15I uçaklarının hangarları, mühimmat depoları ve yakıt hatları birbirine yeraltı tünelleri ile bağlıdır. Pistin vurulması durumunda alternatif kalkış rampaları ve otoyol şeritleri devreye sokulabilir.",0,Standart / Yüzey
43,Tel Nof UAV Hangar,Bilinmiyor,31.839191,34.823327,88,KONTROL ET,Uydu,Gerçek Operasyonel Hedef,1,OSINT Teyitli,ID-43 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 88 seviyesinde korunmaktadır.,-5,Orta-Yüksek (HAS - Sertleştirilmiş Uçak Sığınağı)
44,Palmachim UAV Operations,Bilinmiyor,31.897263,34.692502,90,KONTROL ET,Uydu,Gerçek Operasyonel Hedef,1,OSINT Teyitli,ID-44 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 90 seviyesinde korunmaktadır.,0,Standart / Yüzey
45,Nevatim UAV Division,Bilinmiyor,31.204522,35.01147,87,KONTROL ET,Uydu,Gerçek Operasyonel Hedef,1,OSINT Teyitli,ID-45 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 87 seviyesinde korunmaktadır.,0,Standart / Yüzey
