ID,Tesis Adı,Kategori,Enlem,Boylam,Kritiklik,Durum,Kaynak,Etiket,Tahmini_Alan_km2,Detayli_Stratejik_Aciklama,Bağlı_Olduğu_Üs
11,Ürdün - Muwaffaq Salti Hava Üssü | HAS (Güçlendirilmiş Uçak Sığınağı) #9,hava,31.838032,36.79912,95,DOĞRULANDI (DMPI Simülasyonu),IMINT Hedefleme Doktrini,Dış Kalkan - Kritik Alt Birim,0.1,"DMPI (İstenen Vuruş Noktası): HAS (Güçlendirilmiş Uçak Sığınağı). Bu birim, Muwaffaq Salti Hava Üssü ana üssünün operasyonel bütünlüğü için zorunludur. Merkezden uzaklığı max 1332 metre. İran veya vekil güçlerin (Hizbullah/Husi) balistik saldırılarında hassas koruma gerektirir.",Muwaffaq Salti Hava Üssü
12,Ürdün - Muwaffaq Salti Hava Üssü | HAS (Güçlendirilmiş Uçak Sığınağı) #10,hava,31.82806,36.798946,95,DOĞRULANDI (DMPI Simülasyonu),IMINT Hedefleme Doktrini,Dış Kalkan - Kritik Alt Birim,0.1,"DMPI (İstenen Vuruş Noktası): HAS (Güçlendirilmiş Uçak Sığınağı). Bu birim, Muwaffaq Salti Hava Üssü ana üssünün operasyonel bütünlüğü için zorunludur. Merkezden uzaklığı max 1332 metre. İran veya vekil güçlerin (Hizbullah/Husi) balistik saldırılarında hassas koruma gerektirir.",Muwaffaq Salti Hava Üssü
13,Ürdün - Muwaffaq Salti Hava Üssü | HAS (Güçlendirilmiş Uçak Sığınağı) #11,hava,31.83633,36.797628,95,DOĞRULANDI (DMPI Simülasyonu),IMINT Hedefleme Doktrini,Dış Kalkan - Kritik Alt Birim,0.1,"DMPI (İstenen Vuruş Noktası): HAS (Güçlendirilmiş Uçak Sığınağı). Bu birim, Muwaffaq Salti Hava Üssü ana üssünün operasyonel bütünlüğü için zorunludur. Merkezden uzaklığı max 1332 metre. İran veya vekil güçlerin (Hizbullah/Husi) balistik saldırılarında hassas koruma gerektirir.",Muwaffaq Salti Hava Üssü
14,Ürdün - Muwaffaq Salti Hava Üssü | HAS (Güçlendirilmiş Uçak Sığınağı) #12,hava,31.842632,36.77985,95,DOĞRULANDI (DMPI Simülasyonu),IMINT Hedefleme Doktrini,Dış Kalkan - Kritik Alt Birim,0.1,"DMPI (İstenen Vuruş Noktası): HAS (Güçlendirilmiş Uçak Sığınağı). Bu birim, Muwaffaq Salti Hava Üssü ana üssünün operasyonel bütünlüğü için zorunludur. Merkezden uzaklığı max 1332 metre. İran veya vekil güçlerin (Hizbullah/Husi) balistik saldırılarında hassas koruma gerektirir.",Muwaffaq Salti Hava Üssü
15,Ürdün - Muwaffaq Salti Hava Üssü | HAS (Güçlendirilmiş Uçak Sığınağı) #13,hava,31.838565,36.778978,95,DOĞRULANDI (DMPI Simülasyonu),IMINT Hedefleme Doktrini,Dış Kalkan - Kritik Alt Birim,0.1,"DMPI (İstenen Vuruş Noktası): HAS (Güçlendirilmiş Uçak Sığınağı). Bu birim, Muwaffaq Salti Hava Üssü ana üssünün operasyonel bütünlüğü için zorunludur. Merkezden uzaklığı max 1332 metre. İran veya vekil güçlerin (Hizbullah/Husi) balistik saldırılarında hassas koruma gerektirir.",Muwaffaq Salti Hava Üssü
16,Ürdün - Muwaffaq Salti Hava Üssü | HAS (Güçlendirilmiş Uçak Sığınağı) #14,hava,31.823135,36.785492,95,DOĞRULANDI (DMPI Simülasyonu),IMINT Hedefleme Doktrini,Dış Kalkan - Kritik Alt Birim,0.1,"DMPI (İstenen Vuruş Noktası): HAS (Güçlendirilmiş Uçak Sığınağı). Bu birim, Muwaffaq Salti Hava Üssü ana üssünün operasyonel bütünlüğü için zorunludur. Merkezden uzaklığı max 1332 metre. İran veya vekil güçlerin (Hizbullah/Husi) balistik saldırılarında hassas koruma gerektirir.",Muwaffaq Salti Hava Üssü
17,Ürdün - Muwaffaq Salti Hava Üssü | HAS (Güçlendirilmiş Uçak Sığınağı) #15,hava,31.841564,36.789588,95,DOĞRULANDI (DMPI Simülasyonu),IMINT Hedefleme Doktrini,Dış Kalkan - Kritik Alt Birim,0.1,"DMPI (İstenen Vuruş Noktası): HAS (Güçlendirilmiş Uçak Sığınağı). Bu birim, Muwaffaq Salti Hava Üssü ana üssünün operasyonel bütünlüğü için zorunludur. Merkezden uzaklığı max 1332 metre. İran veya vekil güçlerin (Hizbullah/Husi) balistik saldırılarında hassas koruma gerektirir.",Muwaffaq Salti Hava Üssü
18,Ürdün - Muwaffaq Salti Hava Üssü | HAS (Güçlendirilmiş Uçak Sığınağı) #16,hava,31.827623,36.796188,95,DOĞRULANDI (DMPI Simülasyonu),IMINT Hedefleme Doktrini,Dış Kalkan - Kritik Alt Birim,0.1,"DMPI (İstenen Vuruş Noktası): HAS (Güçlendirilmiş Uçak Sığınağı). Bu birim, Muwaffaq Salti Hava Üssü ana üssünün operasyonel bütünlüğü için zorunludur. Merkezden uzaklığı max 1332 metre. İran veya vekil güçlerin (Hizbullah/Husi) balistik saldırılarında hassas koruma gerektirir.",Muwaffaq Salti Hava Üssü
19,Ürdün - Muwaffaq Salti Hava Üssü | HAS (Güçlendirilmiş Uçak Sığınağı) #17,hava,31.844931,36.781693,95,DOĞRULANDI (DMPI Simülasyonu),IMINT Hedefleme Doktrini,Dış Kalkan - Kritik Alt Birim,0.1,"DMPI (İstenen Vuruş Noktası): HAS (Güçlendirilmiş Uçak Sığınağı). Bu birim, Muwaffaq Salti Hava Üssü ana üssünün operasyonel bütünlüğü için zorunludur. Merkezden uzaklığı max 1332 metre. İran veya vekil güçlerin (Hizbullah/Husi) balistik saldırılarında hassas koruma gerektirir.",Muwaffaq Salti Hava Üssü
20,Ürdün - Muwaffaq Salti Hava Üssü | HAS (Güçlendirilmiş Uçak Sığınağı) #18,hava,31.833757,36.791307,95,DOĞRULANDI (DMPI Simülasyonu),IMINT Hedefleme Doktrini,Dış Kalkan - Kritik Alt Birim,0.1,"DMPI (İstenen Vuruş Noktası): HAS (Güçlendirilmiş Uçak Sığınağı). Bu birim, Muwaffaq Salti Hava Üssü ana üssünün operasyonel bütünlüğü için zorunludur. Merkezden uzaklığı max 1332 metre. İran veya vekil güçlerin (Hizbullah/Husi) balistik saldırılarında hassas koruma gerektirir.",Muwaffaq Salti Hava Üssü
21,Ürdün - Muwaffaq Salti Hava Üssü | HAS (Güçlendirilmiş Uçak Sığınağı) #19,hava,31.844656,36.779039,95,DOĞRULANDI (DMPI Simülasyonu),IMINT Hedefleme Doktrini,Dış Kalkan - Kritik Alt Birim,0.1,"DMPI (İstenen Vuruş Noktası): HAS (Güçlendirilmiş Uçak Sığınağı). Bu birim, Muwaffaq Salti Hava Üssü ana üssünün operasyonel bütünlüğü için zorunludur. Merkezden uzaklığı max 1332 metre. İran veya vekil güçlerin (Hizbullah/Husi) balistik saldırılarında hassas koruma gerektirir.",Muwaffaq Salti Hava Üssü
22,Ürdün - Muwaffaq Salti Hava Üssü | HAS (Güçlendirilmiş Uçak Sığınağı) #20,hava,31.836295,36.799245,95,DOĞRULANDI (DMPI Simülasyonu),IMINT Hedefleme Doktrini,Dış Kalkan - Kritik Alt Birim,0.1,"DMPI (İstenen Vuruş Noktası): HAS (Güçlendirilmiş Uçak Sığınağı). Bu birim, Muwaffaq Salti Hava Üssü ana üssünün operasyonel bütünlüğü için zorunludur. Merkezden uzaklığı max 1332 metre. İran veya vekil güçlerin (Hizbullah/Husi) balistik saldırılarında hassas koruma gerektirir.",Muwaffaq Salti Hava Üssü
23,Ürdün - Muwaffaq Salti Hava Üssü | HAS (Güçlendirilmiş Uçak Sığınağı) #21,hava,31.837618,36.793215,95,DOĞRULANDI (DMPI Simülasyonu),IMINT Hedefleme Doktrini,Dış Kalkan - Kritik Alt Birim,0.1,"DMPI (İstenen Vuruş Noktası): HAS (Güçlendirilmiş Uçak Sığınağı). Bu birim, Muwaffaq Salti Hava Üssü ana üssünün operasyonel bütünlüğü için zorunludur. Merkezden uzaklığı max 1332 metre. İran veya vekil güçlerin (Hizbullah/Husi) balistik saldırılarında hassas koruma gerektirir.",Muwaffaq Salti Hava Üssü
24,Ürdün - Muwaffaq Salti Hava Üssü | HAS (Güçlendirilmiş Uçak Sığınağı) #22,hava,31.841599,36.788171,95,DOĞRULANDI (DMPI Simülasyonu),IMINT Hedefleme Doktrini,Dış Kalkan - Kritik Alt Birim,0.1,"DMPI (İstenen Vuruş Noktası): HAS (Güçlendirilmiş Uçak Sığınağı). Bu birim, Muwaffaq Salti Hava Üssü ana üssünün operasyonel bütünlüğü için zorunludur. Merkezden uzaklığı max 1332 metre. İran veya vekil güçlerin (Hizbullah/Husi) balistik saldırılarında hassas koruma gerektirir.",Muwaffaq Salti Hava Üssü
25,Ürdün - Muwaffaq Salti Hava Üssü | HAS (Güçlendirilmiş Uçak Sığınağı) #23,hava,31.829957,36.790169,95,DOĞRULANDI (DMPI Simülasyonu),IMINT Hedefleme Doktrini,Dış Kalkan - Kritik Alt Birim,0.1,"DMPI (İstenen Vuruş Noktası): HAS (Güçlendirilmiş Uçak Sığınağı). Bu birim, Muwaffaq Salti Hava Üssü ana üssünün operasyonel bütünlüğü için zorunludur. Merkezden uzaklığı max 1332 metre. İran veya vekil güçlerin (Hizbullah/Husi) balistik saldırılarında hassas koruma gerektirir.",Muwaffaq Salti Hava Üssü
26,Ürdün - Muwaffaq Salti Hava Üssü | HAS (Güçlendirilmiş Uçak Sığınağı) #24,hava,31.835676,36.784238,95,DOĞRULANDI (DMPI Simülasyonu),IMINT Hedefleme Doktrini,Dış Kalkan - Kritik Alt Birim,0.1,"DMPI (İstenen Vuruş Noktası): HAS (Güçlendirilmiş Uçak Sığınağı). Bu birim, Muwaffaq Salti Hava Üssü ana üssünün operasyonel bütünlüğü için zorunludur. Merkezden uzaklığı max 1332 metre. İran veya vekil güçlerin (Hizbullah/Husi) balistik saldırılarında hassas koruma gerektirir.",Muwaffaq Salti Hava Üssü
27,Ürdün - Muwaffaq Salti Hava Üssü | Patriot PAC-3 Bataryası - Radar (AN/MPQ-65) #1,radar,31.845625,36.78389,100,DOĞRULANDI (DMPI Simülasyonu),IMINT Hedefleme Doktrini,Dış Kalkan - Kritik Alt Birim,0.1,"DMPI (İstenen Vuruş Noktası): Patriot PAC-3 Bataryası - Radar (AN/MPQ-65). Bu birim, Muwaffaq Salti Hava Üssü ana üssünün operasyonel bütünlüğü için zorunludur. Merkezden uzaklığı max 1665 metre. İran veya vekil güçlerin (Hizbullah/Husi) balistik saldırılarında hassas koruma gerektirir.",Muwaffaq Salti Hava Üssü
28,Ürdün - Muwaffaq Salti Hava Üssü | Patriot PAC-3 - Fırlatma Rampası #1,hava_savunma,31.834408,36.797414,94,DOĞRULANDI (DMPI Simülasyonu),IMINT Hedefleme Doktrini,Dış Kalkan - Kritik Alt Birim,0.1,"DMPI (İstenen Vuruş Noktası): Patriot PAC-3 - Fırlatma Rampası. Bu birim, Muwaffaq Salti Hava Üssü ana üssünün operasyonel bütünlüğü için zorunludur. Merkezden uzaklığı max 1997 metre. İran veya vekil güçlerin (Hizbullah/Husi) balistik saldırılarında hassas koruma gerektirir.",Muwaffaq Salti Hava Üssü
29,Ürdün - Muwaffaq Salti Hava Üssü | Patriot PAC-3 - Fırlatma Rampası #2,hava_savunma,31.846297,36.802056,94,DOĞRULANDI (DMPI Simülasyonu),IMINT Hedefleme Doktrini,Dış Kalkan - Kritik Alt Birim,0.1,"DMPI (İstenen Vuruş Noktası): Patriot PAC-3 - Fırlatma Rampası. Bu birim, Muwaffaq Salti Hava Üssü ana üssünün operasyonel bütünlüğü için zorunludur. Merkezden uzaklığı max 1997 metre. İran veya vekil güçlerin (Hizbullah/Husi) balistik saldırılarında hassas koruma gerektirir.",Muwaffaq Salti Hava Üssü
30,Ürdün - Muwaffaq Salti Hava Üssü | Patriot PAC-3 - Fırlatma Rampası #3,hava_savunma,31.840454,36.779091,94,DOĞRULANDI (DMPI Simülasyonu),IMINT Hedefleme Doktrini,Dış Kalkan - Kritik Alt Birim,0.1,"DMPI (İstenen Vuruş Noktası): Patriot PAC-3 - Fırlatma Rampası. Bu birim, Muwaffaq Salti Hava Üssü ana üssünün operasyonel bütünlüğü için zorunludur. Merkezden uzaklığı max 1997 metre. İran veya vekil güçlerin (Hizbullah/Husi) balistik saldırılarında hassas koruma gerektirir.",Muwaffaq Salti Hava Üssü
31,Ürdün - Muwaffaq Salti Hava Üssü | Patriot PAC-3 - Fırlatma Rampası #4,hava_savunma,31.847505,36.802735,94,DOĞRULANDI (DMPI Simülasyonu),IMINT Hedefleme Doktrini,Dış Kalkan - Kritik Alt Birim,0.1,"DMPI (İstenen Vuruş Noktası): Patriot PAC-3 - Fırlatma Rampası. Bu birim, Muwaffaq Salti Hava Üssü ana üssünün operasyonel bütünlüğü için zorunludur. Merkezden uzaklığı max 1997 metre. İran veya vekil güçlerin (Hizbullah/Husi) balistik saldırılarında hassas koruma gerektirir.",Muwaffaq Salti Hava Üssü
32,Ürdün - Muwaffaq Salti Hava Üssü | Patriot PAC-3 - Fırlatma Rampası #5,hava_savunma,31.842731,36.79761,94,DOĞRULANDI (DMPI Simülasyonu),IMINT Hedefleme Doktrini,Dış Kalkan - Kritik Alt Birim,0.1,"DMPI (İstenen Vuruş Noktası): Patriot PAC-3 - Fırlatma Rampası. Bu birim, Muwaffaq Salti Hava Üssü ana üssünün operasyonel bütünlüğü için zorunludur. Merkezden uzaklığı max 1997 metre. İran veya vekil güçlerin (Hizbullah/Husi) balistik saldırılarında hassas koruma gerektirir.",Muwaffaq Salti Hava Üssü
33,Ürdün - Muwaffaq Salti Hava Üssü | Patriot PAC-3 - Fırlatma Rampası #6,hava_savunma,31.835489,36.787765,94,DOĞRULANDI (DMPI Simülasyonu),IMINT Hedefleme Doktrini,Dış Kalkan - Kritik Alt Birim,0.1,"DMPI (İstenen Vuruş Noktası): Patriot PAC-3 - Fırlatma Rampası. Bu birim, Muwaffaq Salti Hava Üssü ana üssünün operasyonel bütünlüğü için zorunludur. Merkezden uzaklığı max 1997 metre. İran veya vekil güçlerin (Hizbullah/Husi) balistik saldırılarında hassas koruma gerektirir.",Muwaffaq Salti Hava Üssü
34,Ürdün - Muwaffaq Salti Hava Üssü | JP-8 Jet Yakıtı (POL) Sarnıcı #1,enerji,31.838307,36.773888,90,DOĞRULANDI (DMPI Simülasyonu),IMINT Hedefleme Doktrini,Dış Kalkan - Kritik Alt Birim,0.1,"DMPI (İstenen Vuruş Noktası): JP-8 Jet Yakıtı (POL) Sarnıcı. Bu birim, Muwaffaq Salti Hava Üssü ana üssünün operasyonel bütünlüğü için zorunludur. Merkezden uzaklığı max 2220 metre. İran veya vekil güçlerin (Hizbullah/Husi) balistik saldırılarında hassas koruma gerektirir.",Muwaffaq Salti Hava Üssü
35,Ürdün - Muwaffaq Salti Hava Üssü | JP-8 Jet Yakıtı (POL) Sarnıcı #2,enerji,31.842039,36.802454,90,DOĞRULANDI (DMPI Simülasyonu),IMINT Hedefleme Doktrini,Dış Kalkan - Kritik Alt Birim,0.1,"DMPI (İstenen Vuruş Noktası): JP-8 Jet Yakıtı (POL) Sarnıcı. Bu birim, Muwaffaq Salti Hava Üssü ana üssünün operasyonel bütünlüğü için zorunludur. Merkezden uzaklığı max 2220 metre. İran veya vekil güçlerin (Hizbullah/Husi) balistik saldırılarında hassas koruma gerektirir.",Muwaffaq Salti Hava Üssü
36,Ürdün - Muwaffaq Salti Hava Üssü | JP-8 Jet Yakıtı (POL) Sarnıcı #3,enerji,31.821588,36.798155,90,DOĞRULANDI (DMPI Simülasyonu),IMINT Hedefleme Doktrini,Dış Kalkan - Kritik Alt Birim,0.1,"DMPI (İstenen Vuruş Noktası): JP-8 Jet Yakıtı (POL) Sarnıcı. Bu birim, Muwaffaq Salti Hava Üssü ana üssünün operasyonel bütünlüğü için zorunludur. Merkezden uzaklığı max 2220 metre. İran veya vekil güçlerin (Hizbullah/Husi) balistik saldırılarında hassas koruma gerektirir.",Muwaffaq Salti Hava Üssü
37,Ürdün - Muwaffaq Salti Hava Üssü | JP-8 Jet Yakıtı (POL) Sarnıcı #4,enerji,31.843247,36.77284,90,DOĞRULANDI (DMPI Simülasyonu),IMINT Hedefleme Doktrini,Dış Kalkan - Kritik Alt Birim,0.1,"DMPI (İstenen Vuruş Noktası): JP-8 Jet Yakıtı (POL) Sarnıcı. Bu birim, Muwaffaq Salti Hava Üssü ana üssünün operasyonel bütünlüğü için zorunludur. Merkezden uzaklığı max 2220 metre. İran veya vekil güçlerin (Hizbullah/Husi) balistik saldırılarında hassas koruma gerektirir.",Muwaffaq Salti Hava Üssü
38,Ürdün - Muwaffaq Salti Hava Üssü | JP-8 Jet Yakıtı (POL) Sarnıcı #5,enerji,31.817029,36.791815,90,DOĞRULANDI (DMPI Simülasyonu),IMINT Hedefleme Doktrini,Dış Kalkan - Kritik Alt Birim,0.1,"DMPI (İstenen Vuruş Noktası): JP-8 Jet Yakıtı (POL) Sarnıcı. Bu birim, Muwaffaq Salti Hava Üssü ana üssünün operasyonel bütünlüğü için zorunludur. Merkezden uzaklığı max 2220 metre. İran veya vekil güçlerin (Hizbullah/Husi) balistik saldırılarında hassas koruma gerektirir.",Muwaffaq Salti Hava Üssü
39,Ürdün - Muwaffaq Salti Hava Üssü | JP-8 Jet Yakıtı (POL) Sarnıcı #6,enerji,31.823766,36.780394,90,DOĞRULANDI (DMPI Simülasyonu),IMINT Hedefleme Doktrini,Dış Kalkan - Kritik Alt Birim,0.1,"DMPI (İstenen Vuruş Noktası): JP-8 Jet Yakıtı (POL) Sarnıcı. Bu birim, Muwaffaq Salti Hava Üssü ana üssünün operasyonel bütünlüğü için zorunludur. Merkezden uzaklığı max 2220 metre. İran veya vekil güçlerin (Hizbullah/Husi) balistik saldırılarında hassas koruma gerektirir.",Muwaffaq Salti Hava Üssü
40,Ürdün - Muwaffaq Salti Hava Üssü | JP-8 Jet Yakıtı (POL) Sarnıcı #7,enerji,31.839847,36.794033,90,DOĞRULANDI (DMPI Simülasyonu),IMINT Hedefleme Doktrini,Dış Kalkan - Kritik Alt Birim,0.1,"DMPI (İstenen Vuruş Noktası): JP-8 Jet Yakıtı (POL) Sarnıcı. Bu birim, Muwaffaq Salti Hava Üssü ana üssünün operasyonel bütünlüğü için zorunludur. Merkezden uzaklığı max 2220 metre. İran veya vekil güçlerin (Hizbullah/Husi) balistik saldırılarında hassas koruma gerektirir.",Muwaffaq Salti Hava Üssü
41,Ürdün - Muwaffaq Salti Hava Üssü | JP-8 Jet Yakıtı (POL) Sarnıcı #8,enerji,31.84495,36.790729,90,DOĞRULANDI (DMPI Simülasyonu),IMINT Hedefleme Doktrini,Dış Kalkan - Kritik Alt Birim,0.1,"DMPI (İstenen Vuruş Noktası): JP-8 Jet Yakıtı (POL) Sarnıcı. Bu birim, Muwaffaq Salti Hava Üssü ana üssünün operasyonel bütünlüğü için zorunludur. Merkezden uzaklığı max 2220 metre. İran veya vekil güçlerin (Hizbullah/Husi) balistik saldırılarında hassas koruma gerektirir.",Muwaffaq Salti Hava Üssü
42,Ürdün - Muwaffaq Salti Hava Üssü | JP-8 Jet Yakıtı (POL) Sarnıcı #9,enerji,31.82835,36.768501,90,DOĞRULANDI (DMPI Simülasyonu),IMINT Hedefleme Doktrini,Dış Kalkan - Kritik Alt Birim,0.1,"DMPI (İstenen Vuruş Noktası): JP-8 Jet Yakıtı (POL) Sarnıcı. Bu birim, Muwaffaq Salti Hava Üssü ana üssünün operasyonel bütünlüğü için zorunludur. Merkezden uzaklığı max 2220 metre. İran veya vekil güçlerin (Hizbullah/Husi) balistik saldırılarında hassas koruma gerektirir.",Muwaffaq Salti Hava Üssü
43,Ürdün - Muwaffaq Salti Hava Üssü | JP-8 Jet Yakıtı (POL) Sarnıcı #10,enerji,31.819561,36.775713,90,DOĞRULANDI (DMPI Simülasyonu),IMINT Hedefleme Doktrini,Dış Kalkan - Kritik Alt Birim,0.1,"DMPI (İstenen Vuruş Noktası): JP-8 Jet Yakıtı (POL) Sarnıcı. Bu birim, Muwaffaq Salti Hava Üssü ana üssünün operasyonel bütünlüğü için zorunludur. Merkezden uzaklığı max 2220 metre. İran veya vekil güçlerin (Hizbullah/Husi) balistik saldırılarında hassas koruma gerektirir.",Muwaffaq Salti Hava Üssü
44,Ürdün - Muwaffaq Salti Hava Üssü | Mühimmat Depo Alanı (Bunker) #1,depo,31.836264,36.799005,92,DOĞRULANDI (DMPI Simülasyonu),IMINT Hedefleme Doktrini,Dış Kalkan - Kritik Alt Birim,0.1,"DMPI (İstenen Vuruş Noktası): Mühimmat Depo Alanı (Bunker). Bu birim, Muwaffaq Salti Hava Üssü ana üssünün operasyonel bütünlüğü için zorunludur. Merkezden uzaklığı max 2775 metre. İran veya vekil güçlerin (Hizbullah/Husi) balistik saldırılarında hassas koruma gerektirir.",Muwaffaq Salti Hava Üssü
45,Ürdün - Muwaffaq Salti Hava Üssü | Mühimmat Depo Alanı (Bunker) #2,depo,31.820457,36.782492,92,DOĞRULANDI (DMPI Simülasyonu),IMINT Hedefleme Doktrini,Dış Kalkan - Kritik Alt Birim,0.1,"DMPI (İstenen Vuruş Noktası): Mühimmat Depo Alanı (Bunker). Bu birim, Muwaffaq Salti Hava Üssü ana üssünün operasyonel bütünlüğü için zorunludur. Merkezden uzaklığı max 2775 metre. İran veya vekil güçlerin (Hizbullah/Husi) balistik saldırılarında hassas koruma gerektirir.",Muwaffaq Salti Hava Üssü
