ID,Tesis Adı,Kategori,Enlem,Boylam,Kritiklik,Durum,Kaynak,Etiket,Tahmini_Alan_km2,Detayli_Stratejik_Aciklama,Bağlı_Olduğu_Üs
11,Sdot Micha Jericho Füze Üssü,fuze,31.7,34.8667,100,Doğrulandı,FAS,Gerçek Operasyonel Hedef,1.0,"ID-11 Stratejik Füze Ünitesi: Jericho-3 balistik füze sistemlerinin konuşlandığı yeraltı fırlatma platformu. İran'ın stratejik derinliğine doğrudan erişim kapasitesi sağlar. Hedefleme verileri 'Wing of Zion' ve Glilot üzerinden senkronize edilir. Olası bir saldırıda 'İkinci Vuruş' kapasitesini korumak amacıyla GPS karıştırma ve multispektral kamuflaj teknikleri uygulanmaktadır. Komuta zinciri, NCMC sığınağına yedekli fiber hatlarla bağlıdır.",İsrail Ulusal Ağ
12,Palmachim Füze Test Sahası,fuze,31.8967,34.69,98,Doğrulandı,FAS,Gerçek Operasyonel Hedef,1.0,"ID-12 Stratejik Füze Ünitesi: Jericho-3 balistik füze sistemlerinin konuşlandığı yeraltı fırlatma platformu. İran'ın stratejik derinliğine doğrudan erişim kapasitesi sağlar. Hedefleme verileri 'Wing of Zion' ve Glilot üzerinden senkronize edilir. Olası bir saldırıda 'İkinci Vuruş' kapasitesini korumak amacıyla GPS karıştırma ve multispektral kamuflaj teknikleri uygulanmaktadır. Komuta zinciri, NCMC sığınağına yedekli fiber hatlarla bağlıdır.",İsrail Ulusal Ağ
13,Jericho Silo Bölgesi A,fuze,31.7667,35.0,99,KONTROL ET,FAS,Gerçek Operasyonel Hedef,1.0,"ID-13 Stratejik Füze Ünitesi: Jericho-3 balistik füze sistemlerinin konuşlandığı yeraltı fırlatma platformu. İran'ın stratejik derinliğine doğrudan erişim kapasitesi sağlar. Hedefleme verileri 'Wing of Zion' ve Glilot üzerinden senkronize edilir. Olası bir saldırıda 'İkinci Vuruş' kapasitesini korumak amacıyla GPS karıştırma ve multispektral kamuflaj teknikleri uygulanmaktadır. Komuta zinciri, NCMC sığınağına yedekli fiber hatlarla bağlıdır.",İsrail Ulusal Ağ
14,Jericho Silo Bölgesi B,fuze,31.5,34.95,99,KONTROL ET,FAS,Gerçek Operasyonel Hedef,1.0,"ID-14 Stratejik Füze Ünitesi: Jericho-3 balistik füze sistemlerinin konuşlandığı yeraltı fırlatma platformu. İran'ın stratejik derinliğine doğrudan erişim kapasitesi sağlar. Hedefleme verileri 'Wing of Zion' ve Glilot üzerinden senkronize edilir. Olası bir saldırıda 'İkinci Vuruş' kapasitesini korumak amacıyla GPS karıştırma ve multispektral kamuflaj teknikleri uygulanmaktadır. Komuta zinciri, NCMC sığınağına yedekli fiber hatlarla bağlıdır.",İsrail Ulusal Ağ
15,Jericho Silo Bölgesi C,fuze,31.65,34.9167,98,KONTROL ET,FAS,Gerçek Operasyonel Hedef,1.0,"ID-15 Stratejik Füze Ünitesi: Jericho-3 balistik füze sistemlerinin konuşlandığı yeraltı fırlatma platformu. İran'ın stratejik derinliğine doğrudan erişim kapasitesi sağlar. Hedefleme verileri 'Wing of Zion' ve Glilot üzerinden senkronize edilir. Olası bir saldırıda 'İkinci Vuruş' kapasitesini korumak amacıyla GPS karıştırma ve multispektral kamuflaj teknikleri uygulanmaktadır. Komuta zinciri, NCMC sığınağına yedekli fiber hatlarla bağlıdır.",İsrail Ulusal Ağ
16,Jericho Silo Bölgesi D (Negev),fuze,30.95,35.0333,97,KONTROL ET,Uydu,Gerçek Operasyonel Hedef,1.0,"ID-16 Stratejik Füze Ünitesi: Jericho-3 balistik füze sistemlerinin konuşlandığı yeraltı fırlatma platformu. İran'ın stratejik derinliğine doğrudan erişim kapasitesi sağlar. Hedefleme verileri 'Wing of Zion' ve Glilot üzerinden senkronize edilir. Olası bir saldırıda 'İkinci Vuruş' kapasitesini korumak amacıyla GPS karıştırma ve multispektral kamuflaj teknikleri uygulanmaktadır. Komuta zinciri, NCMC sığınağına yedekli fiber hatlarla bağlıdır.",İsrail Ulusal Ağ
17,Negev Füze Tünel Kompleksi 1,fuze,31.1,35.05,96,Doğrulandı,Uydu,Gerçek Operasyonel Hedef,3.0,"ID-17 Stratejik Füze Ünitesi: Jericho-3 balistik füze sistemlerinin konuşlandığı yeraltı fırlatma platformu. İran'ın stratejik derinliğine doğrudan erişim kapasitesi sağlar. Hedefleme verileri 'Wing of Zion' ve Glilot üzerinden senkronize edilir. Olası bir saldırıda 'İkinci Vuruş' kapasitesini korumak amacıyla GPS karıştırma ve multispektral kamuflaj teknikleri uygulanmaktadır. Komuta zinciri, NCMC sığınağına yedekli fiber hatlarla bağlıdır.",İsrail Ulusal Ağ
18,Negev Füze Tünel Kompleksi 2,fuze,31.05,34.9833,96,Doğrulandı,Uydu,Gerçek Operasyonel Hedef,3.0,"ID-18 Stratejik Füze Ünitesi: Jericho-3 balistik füze sistemlerinin konuşlandığı yeraltı fırlatma platformu. İran'ın stratejik derinliğine doğrudan erişim kapasitesi sağlar. Hedefleme verileri 'Wing of Zion' ve Glilot üzerinden senkronize edilir. Olası bir saldırıda 'İkinci Vuruş' kapasitesini korumak amacıyla GPS karıştırma ve multispektral kamuflaj teknikleri uygulanmaktadır. Komuta zinciri, NCMC sığınağına yedekli fiber hatlarla bağlıdır.",İsrail Ulusal Ağ
19,Tel Nof Füze Depo Alanı,fuze,31.82,34.8,92,Doğrulandı,GlobalSec,Gerçek Operasyonel Hedef,3.0,"ID-19 Stratejik Füze Ünitesi: Jericho-3 balistik füze sistemlerinin konuşlandığı yeraltı fırlatma platformu. İran'ın stratejik derinliğine doğrudan erişim kapasitesi sağlar. Hedefleme verileri 'Wing of Zion' ve Glilot üzerinden senkronize edilir. Olası bir saldırıda 'İkinci Vuruş' kapasitesini korumak amacıyla GPS karıştırma ve multispektral kamuflaj teknikleri uygulanmaktadır. Komuta zinciri, NCMC sığınağına yedekli fiber hatlarla bağlıdır.",İsrail Ulusal Ağ
20,Hatzerim Füze Bakım,fuze,31.2333,34.6667,88,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1.0,"ID-20 Stratejik Füze Ünitesi: Jericho-3 balistik füze sistemlerinin konuşlandığı yeraltı fırlatma platformu. İran'ın stratejik derinliğine doğrudan erişim kapasitesi sağlar. Hedefleme verileri 'Wing of Zion' ve Glilot üzerinden senkronize edilir. Olası bir saldırıda 'İkinci Vuruş' kapasitesini korumak amacıyla GPS karıştırma ve multispektral kamuflaj teknikleri uygulanmaktadır. Komuta zinciri, NCMC sığınağına yedekli fiber hatlarla bağlıdır.",İsrail Ulusal Ağ
21,Nevatim Uzun Menzilli Depo,fuze,31.2,35.0167,90,Doğrulandı,Uydu,Gerçek Operasyonel Hedef,3.0,"ID-21 Stratejik Füze Ünitesi: Jericho-3 balistik füze sistemlerinin konuşlandığı yeraltı fırlatma platformu. İran'ın stratejik derinliğine doğrudan erişim kapasitesi sağlar. Hedefleme verileri 'Wing of Zion' ve Glilot üzerinden senkronize edilir. Olası bir saldırıda 'İkinci Vuruş' kapasitesini korumak amacıyla GPS karıştırma ve multispektral kamuflaj teknikleri uygulanmaktadır. Komuta zinciri, NCMC sığınağına yedekli fiber hatlarla bağlıdır.",İsrail Ulusal Ağ
22,Be'er Sheva Füze Lojistik,fuze,31.2167,34.8,82,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,3.0,"ID-22 Stratejik Füze Ünitesi: Jericho-3 balistik füze sistemlerinin konuşlandığı yeraltı fırlatma platformu. İran'ın stratejik derinliğine doğrudan erişim kapasitesi sağlar. Hedefleme verileri 'Wing of Zion' ve Glilot üzerinden senkronize edilir. Olası bir saldırıda 'İkinci Vuruş' kapasitesini korumak amacıyla GPS karıştırma ve multispektral kamuflaj teknikleri uygulanmaktadır. Komuta zinciri, NCMC sığınağına yedekli fiber hatlarla bağlıdır.",İsrail Ulusal Ağ
23,Eilat Füze Bataryası,fuze,29.55,34.95,80,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1.0,"ID-23 Stratejik Füze Ünitesi: Jericho-3 balistik füze sistemlerinin konuşlandığı yeraltı fırlatma platformu. İran'ın stratejik derinliğine doğrudan erişim kapasitesi sağlar. Hedefleme verileri 'Wing of Zion' ve Glilot üzerinden senkronize edilir. Olası bir saldırıda 'İkinci Vuruş' kapasitesini korumak amacıyla GPS karıştırma ve multispektral kamuflaj teknikleri uygulanmaktadır. Komuta zinciri, NCMC sığınağına yedekli fiber hatlarla bağlıdır.",İsrail Ulusal Ağ
24,Nevatim Hava Üssü,hava,31.2083,35.0125,95,Doğrulandı,Wikipedia,Gerçek Operasyonel Hedef,20.0,"ID-24 Nevatim Hava Üssü: Hava üstünlüğü ve derin darbe (Deep Strike) operasyonlarının ana kalkış noktası. F-35I Adir ve F-15I uçaklarının hangarları, mühimmat depoları ve yakıt hatları birbirine yeraltı tünelleri ile bağlıdır. Pistin vurulması durumunda alternatif kalkış rampaları ve otoyol şeritleri devreye sokulabilir.",İsrail Ulusal Ağ
25,Tel-Nof Hava Üssü,hava,31.8397,34.8219,97,Doğrulandı,FAS,Gerçek Operasyonel Hedef,20.0,"ID-25 Tel-Nof Hava Üssü: Hava üstünlüğü ve derin darbe (Deep Strike) operasyonlarının ana kalkış noktası. F-35I Adir ve F-15I uçaklarının hangarları, mühimmat depoları ve yakıt hatları birbirine yeraltı tünelleri ile bağlıdır. Pistin vurulması durumunda alternatif kalkış rampaları ve otoyol şeritleri devreye sokulabilir.",İsrail Ulusal Ağ
26,Hatzerim Hava Üssü,hava,31.2333,34.6667,92,Doğrulandı,FAS,Gerçek Operasyonel Hedef,20.0,"ID-26 Hatzerim Hava Üssü: Hava üstünlüğü ve derin darbe (Deep Strike) operasyonlarının ana kalkış noktası. F-35I Adir ve F-15I uçaklarının hangarları, mühimmat depoları ve yakıt hatları birbirine yeraltı tünelleri ile bağlıdır. Pistin vurulması durumunda alternatif kalkış rampaları ve otoyol şeritleri devreye sokulabilir.",İsrail Ulusal Ağ
27,Palmachim Hava Üssü,fuze,31.8967,34.69,98,Doğrulandı,FAS,Gerçek Operasyonel Hedef,1.0,"ID-27 Stratejik Füze Ünitesi: Jericho-3 balistik füze sistemlerinin konuşlandığı yeraltı fırlatma platformu. İran'ın stratejik derinliğine doğrudan erişim kapasitesi sağlar. Hedefleme verileri 'Wing of Zion' ve Glilot üzerinden senkronize edilir. Olası bir saldırıda 'İkinci Vuruş' kapasitesini korumak amacıyla GPS karıştırma ve multispektral kamuflaj teknikleri uygulanmaktadır. Komuta zinciri, NCMC sığınağına yedekli fiber hatlarla bağlıdır.",İsrail Ulusal Ağ
28,Ramat David Hava Üssü,havasavunma,32.6653,35.1794,90,Doğrulandı,Wikipedia,Gerçek Operasyonel Hedef,20.0,"ID-28 Ramat David Hava Üssü: Hava üstünlüğü ve derin darbe (Deep Strike) operasyonlarının ana kalkış noktası. F-35I Adir ve F-15I uçaklarının hangarları, mühimmat depoları ve yakıt hatları birbirine yeraltı tünelleri ile bağlıdır. Pistin vurulması durumunda alternatif kalkış rampaları ve otoyol şeritleri devreye sokulabilir.",İsrail Ulusal Ağ
29,Ovda Hava Üssü,hava,29.9403,34.9356,88,Doğrulandı,Wikipedia,Gerçek Operasyonel Hedef,1.0,"ID-29 Ovda Hava Üssü: Hava üstünlüğü ve derin darbe (Deep Strike) operasyonlarının ana kalkış noktası. F-35I Adir ve F-15I uçaklarının hangarları, mühimmat depoları ve yakıt hatları birbirine yeraltı tünelleri ile bağlıdır. Pistin vurulması durumunda alternatif kalkış rampaları ve otoyol şeritleri devreye sokulabilir.",İsrail Ulusal Ağ
30,Ramon Hava Üssü,hava,30.7761,34.6667,85,Doğrulandı,Wikipedia,Gerçek Operasyonel Hedef,1.0,"ID-30 Ramon Hava Üssü: Hava üstünlüğü ve derin darbe (Deep Strike) operasyonlarının ana kalkış noktası. F-35I Adir ve F-15I uçaklarının hangarları, mühimmat depoları ve yakıt hatları birbirine yeraltı tünelleri ile bağlıdır. Pistin vurulması durumunda alternatif kalkış rampaları ve otoyol şeritleri devreye sokulabilir.",İsrail Ulusal Ağ
31,Hatzor Hava Üssü,hava,31.7633,34.7272,83,Doğrulandı,GlobalSec,Gerçek Operasyonel Hedef,1.0,"ID-31 Hatzor Hava Üssü: Hava üstünlüğü ve derin darbe (Deep Strike) operasyonlarının ana kalkış noktası. F-35I Adir ve F-15I uçaklarının hangarları, mühimmat depoları ve yakıt hatları birbirine yeraltı tünelleri ile bağlıdır. Pistin vurulması durumunda alternatif kalkış rampaları ve otoyol şeritleri devreye sokulabilir.",İsrail Ulusal Ağ
32,Ein Shemer Hava Üssü,hava,32.4378,35.0072,80,Doğrulandı,GlobalSec,Gerçek Operasyonel Hedef,1.0,"ID-32 Ein Shemer Hava Üssü: Hava üstünlüğü ve derin darbe (Deep Strike) operasyonlarının ana kalkış noktası. F-35I Adir ve F-15I uçaklarının hangarları, mühimmat depoları ve yakıt hatları birbirine yeraltı tünelleri ile bağlıdır. Pistin vurulması durumunda alternatif kalkış rampaları ve otoyol şeritleri devreye sokulabilir.",İsrail Ulusal Ağ
33,Megiddo Askeri Havalimanı,hava,32.5973,35.2288,75,Doğrulandı,Wikipedia,Gerçek Operasyonel Hedef,20.0,ID-33 Deniz Strateji Noktası (Megiddo Askeri Havalimanı): Akdeniz'deki deniz hakimiyeti ve nükleer kapasiteli denizaltıların lojistik ikmal hattı. Denizaltı penleri ve yeraltı torpido depoları sığınak delici mühimmata karşı korumalıdır. Barak-8 gemi konuşlu hava savunma sistemleri bölgenin ana kalkanıdır.,İsrail Ulusal Ağ
34,Shlomo Askeri Havalimanı (Eilat),hava,29.5611,34.9436,78,Doğrulandı,Wikipedia,Gerçek Operasyonel Hedef,20.0,ID-34 Deniz Strateji Noktası (Shlomo Askeri Havalimanı (Eilat)): Akdeniz'deki deniz hakimiyeti ve nükleer kapasiteli denizaltıların lojistik ikmal hattı. Denizaltı penleri ve yeraltı torpido depoları sığınak delici mühimmata karşı korumalıdır. Barak-8 gemi konuşlu hava savunma sistemleri bölgenin ana kalkanıdır.,İsrail Ulusal Ağ
35,Lod Ben Gurion Askeri Bölge,askeri,31.9953,34.8706,82,Doğrulandı,Wikipedia,Gerçek Operasyonel Hedef,1.0,ID-35 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 82 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
36,Sde Dov Hava Üssü (kapalı),hava,32.1008,34.7822,60,Doğrulandı,Wikipedia,Gerçek Operasyonel Hedef,1.0,"ID-36 Sde Dov Hava Üssü (kapalı): Hava üstünlüğü ve derin darbe (Deep Strike) operasyonlarının ana kalkış noktası. F-35I Adir ve F-15I uçaklarının hangarları, mühimmat depoları ve yakıt hatları birbirine yeraltı tünelleri ile bağlıdır. Pistin vurulması durumunda alternatif kalkış rampaları ve otoyol şeritleri devreye sokulabilir.",İsrail Ulusal Ağ
37,Atarot Hava Üssü (kapalı),hava,31.8667,35.2167,55,Doğrulandı,Wikipedia,Gerçek Operasyonel Hedef,1.0,"ID-37 Atarot Hava Üssü (kapalı): Hava üstünlüğü ve derin darbe (Deep Strike) operasyonlarının ana kalkış noktası. F-35I Adir ve F-15I uçaklarının hangarları, mühimmat depoları ve yakıt hatları birbirine yeraltı tünelleri ile bağlıdır. Pistin vurulması durumunda alternatif kalkış rampaları ve otoyol şeritleri devreye sokulabilir.",İsrail Ulusal Ağ
38,Tel Nof Güney Apron,hava,31.82,34.81,85,Doğrulandı,Uydu,Gerçek Operasyonel Hedef,1.0,"ID-38 Tel Nof Güney Apron: Hava üstünlüğü ve derin darbe (Deep Strike) operasyonlarının ana kalkış noktası. F-35I Adir ve F-15I uçaklarının hangarları, mühimmat depoları ve yakıt hatları birbirine yeraltı tünelleri ile bağlıdır. Pistin vurulması durumunda alternatif kalkış rampaları ve otoyol şeritleri devreye sokulabilir.",İsrail Ulusal Ağ
39,Nevatim Güney Hangar Alanı,hava,31.195,35.02,88,KONTROL ET,Uydu,Gerçek Operasyonel Hedef,1.0,"ID-39 Nevatim Güney Hangar Alanı: Hava üstünlüğü ve derin darbe (Deep Strike) operasyonlarının ana kalkış noktası. F-35I Adir ve F-15I uçaklarının hangarları, mühimmat depoları ve yakıt hatları birbirine yeraltı tünelleri ile bağlıdır. Pistin vurulması durumunda alternatif kalkış rampaları ve otoyol şeritleri devreye sokulabilir.",İsrail Ulusal Ağ
40,Ovda Kuzey Apron,hava,29.95,34.93,82,KONTROL ET,Uydu,Gerçek Operasyonel Hedef,1.0,"ID-40 Ovda Kuzey Apron: Hava üstünlüğü ve derin darbe (Deep Strike) operasyonlarının ana kalkış noktası. F-35I Adir ve F-15I uçaklarının hangarları, mühimmat depoları ve yakıt hatları birbirine yeraltı tünelleri ile bağlıdır. Pistin vurulması durumunda alternatif kalkış rampaları ve otoyol şeritleri devreye sokulabilir.",İsrail Ulusal Ağ
41,Hatzerim Doğu Tesis,hava,31.24,34.68,85,KONTROL ET,Uydu,Gerçek Operasyonel Hedef,1.0,"ID-41 Hatzerim Doğu Tesis: Hava üstünlüğü ve derin darbe (Deep Strike) operasyonlarının ana kalkış noktası. F-35I Adir ve F-15I uçaklarının hangarları, mühimmat depoları ve yakıt hatları birbirine yeraltı tünelleri ile bağlıdır. Pistin vurulması durumunda alternatif kalkış rampaları ve otoyol şeritleri devreye sokulabilir.",İsrail Ulusal Ağ
42,Ramat David Güney Bölge,havasavunma,32.655,35.185,82,KONTROL ET,Uydu,Gerçek Operasyonel Hedef,1.0,"ID-42 Ramat David Güney Bölge: Hava üstünlüğü ve derin darbe (Deep Strike) operasyonlarının ana kalkış noktası. F-35I Adir ve F-15I uçaklarının hangarları, mühimmat depoları ve yakıt hatları birbirine yeraltı tünelleri ile bağlıdır. Pistin vurulması durumunda alternatif kalkış rampaları ve otoyol şeritleri devreye sokulabilir.",İsrail Ulusal Ağ
43,Tel Nof İHA Hangarı,hava,31.835,34.825,88,KONTROL ET,Uydu,Gerçek Operasyonel Hedef,1.0,ID-43 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 88 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
44,Palmachim İHA Operasyon,unknown,31.9,34.695,90,KONTROL ET,Uydu,Gerçek Operasyonel Hedef,1.0,ID-44 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 90 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
45,Nevatim İHA Bölümü,hava,31.21,35.005,87,KONTROL ET,Uydu,Gerçek Operasyonel Hedef,1.0,ID-45 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 87 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
46,Ramon İHA Alanı,unknown,30.78,34.66,80,KONTROL ET,Uydu,Gerçek Operasyonel Hedef,1.0,ID-46 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 80 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
47,Ovda İHA Testi,unknown,29.945,34.94,82,KONTROL ET,Uydu,Gerçek Operasyonel Hedef,1.0,ID-47 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 82 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
48,Iron Dome Bataryası - Palmachim,havasavunma,31.9,34.695,92,Doğrulandı,Wikipedia,Gerçek Operasyonel Hedef,1.0,ID-48 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 92 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
49,Arrow-3 Bataryası - Tel Shahar,havasavunma,31.8,34.85,95,Doğrulandı,Wikipedia,Gerçek Operasyonel Hedef,1.0,ID-49 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 95 seviyesinde korunmaktadır.,İsrail Ulusal Ağ
