"ID","Tesis Adı","Kategori","Enlem","Boylam","Kritiklik","Durum","Kaynak","Etiket","Tahmini_Alan_km2","Detayli_Stratejik_Aciklama"
"17","Kıbrıs - Lefkoşa NSG Ulusal Muhafızlar Karargahı","askeri","34.9823","33.1423","KRITIK","Gizli","İstihbarat Raporu","KRITIK","8.4","GEEF (Kıbrıs Ulusal Muhafızları) Ana Karargahı. T-80U tankları, BMP-3 zırhlı araçlar, Buk-M2 hava savunma sistemleri burada. Yunan subay kadrosu ortak görev yapıyor."
"18","Kıbrıs - S-300 PMU-2 Hava Savunma Bataryası Paphos","askeri","34.85","32.4","KRITIK","Aktif","İstihbarat Raporu","KRITIK","0.4","Kıbrıs'ın S-300 PMU-2 bataryası. 150km menzil, aynı anda 12 hedef angaje edebilir. Bölgenin en güçlü yüzey-hava füze sistemi. Konuşlanma noktaları periyodik değiştirilmeli."
"19","Kıbrıs - Akrotiri Liman Yakıt Depolama Kompleksi","depo","34.58","32.97","KRITIK","Aktif","NATO Dokümanı","KRITIK","4.2","İngiliz Egemen Bölgesi yakıt ve ikmal kompleksi. Jet yakıtı, dizel ve mühimmat depolama. NATO operasyonları için kritik lojistik düğüm."
"20","Kıbrıs - Episkopi İngiliz Garnizon Lojistik Üssü","depo","34.61","32.95","KRITIK","Aktif","NATO Dokümanı","KRITIK","3.1","HQ British Forces Cyprus lojistik ve idari merkezi. Tıbbi, mühimmat ve yaşam desteği stoğu. 2,500+ İngiliz personel."
"21","Kıbrıs - Lefkoşa Cumhurbaşkanlığı ve Ulusal Güvenlik Konseyi","askeri","35.1712","33.3623","KRITIK","Aktif","Açık Kaynak","KRITIK","0.2","Kıbrıs Cumhurbaşkanlığı ve Ulusal Güvenlik Konseyi merkezi. Sivil-askeri komuta zincirinin tepesi. Yeraltı kriz yönetim sığınağı zorunludur."
"22","Kıbrıs - Savunma ve İçişleri Bakanlıkları Kompleksi","askeri","35.1634","33.3512","KRITIK","Aktif","Açık Kaynak","KRITIK","0.15","Savunma ve İçişleri Bakanlıkları ortak kompleksi. Askeri ve sivil kriz koordinasyonunun merkezi."
"23","Kıbrıs - Lefkoşa Yeraltı Ulusal Güvenlik Bunkerı","tunel","35.1412","33.32","KRITIK","Gizli","İstihbarat Raporu","KRITIK","0.2","Hükümet sürekliliği için inşa edilmiş yeraltı komuta bunkerı. 30 günlük özerk çalışma kapasitesi. Konumu üst düzey gizlilik kapsamında."
"24","Kıbrıs - EMED Afrodit Gaz Sahası Blok 12 Geliştirme","enerji","33.56","32.95","KRITIK","Geliştirme","Alan Araştırması","KRITIK","850.0","Shell ortaklığıyla geliştirilen Kıbrıs'ın en büyük doğalgaz sahası. Tahmini 140 milyar m³ rezerv. Deniz kuvvetleri korveti sürekli koruma görevi yapmalı."
"25","Yunanistan - 111. Muharebe Kanadı F-16 Nea Ankhialos Hava Üssü","hava","39.22","22.79","KRITIK","Aktif","NATO Dokümanı","KRITIK","8.1","111. Muharebe Kanadı F-16C/D Block 52+ uçakları. Orta Yunanistan ve Ege'nin hava savunması. Küçük Asya sahiline yakın konumu stratejik önem taşır."
"26","Yunanistan - 110. Muharebe Kanadı F-16 Larissa Hava Üssü","hava","39.65","22.4167","KRITIK","Aktif","NATO Dokümanı","KRITIK","9.3","335 ve 336 Filosu F-16C/D Block 52+ ve Rafale uçakları. Yunan HK'nın en güçlü taktik hava birliği. S-300 ve Patriot PAC-3 entegre hava savunma."
"27","Yunanistan - 116. Muharebe Kanadı F-16 Araxos Hava Üssü","hava","38.2","21.42","YÜKSEK","Aktif","NATO Dokümanı","ÖNCELİKLİ","6.1","336 Filosu F-16 uçakları. NATO nükleer paylaşım görev üssü B61 bombaları için aday. İyon Denizi hava savunması."
"28","Yunanistan - 114. Muharebe Kanadı Tanagra Hava Üssü","hava","38.3401","23.5634","KRITIK","Aktif","NATO Dokümanı","KRITIK","7.2","331 ve 332 Filosu F-16 ve Rafale uçakları. Yunan Hava Kuvvetleri yedek karargah üssü. Saldırı altında komuta buraya taşınabilir."
"29","Yunanistan - 120. Hava Transportu Kanadı Elefsis Hava Üssü","hava","37.99","23.56","YÜKSEK","Aktif","NATO Dokümanı","ÖNCELİKLİ","5.2","C-130H Hercules ve CASA CN-235 nakliye uçakları. Atina yakını lojistik hava üssü. Tahliye ve ikmal operasyonları için kritik."
"30","Yunanistan - 115. Muharebe Kanadı F-16 Souda Kirit Hava Üssü","hava","35.5317","24.1497","KRITIK","Aktif","NATO Dokümanı","KRITIK","4.1","Kirit'teki F-16 kanalı. Souda Körfezi NATO deniz üssüne bitişik. Kıbrıs'a 450km. Kriz durumunda birincil hava desteği noktası."
"31","Yunanistan - NSA/NATO Souda Körfezi Deniz Üssü ILF","liman","35.4912","24.1167","KRITIK","Aktif","NATO Dokümanı","KRITIK","18.4","NATO'nun Akdeniz'deki en büyük doğal derin su limanı. Uçak gemisi ve denizaltı yanaşabilir. NSA (ABD) Souda istasyonu SIGINT kapasitesiyle. Kıbrıs'a 280km."
"32","Yunanistan - Salamis Deniz Kuvvetleri Ana Üssü HNGS","liman","37.95","23.48","KRITIK","Aktif","Açık Kaynak","KRITIK","5.8","Yunan Deniz Kuvvetleri Ana Komutanlığı ve filosu. Hydra sınıfı fregat, Papanikolis sınıfı denizaltı. Atina'ya 10km."
"33","Yunanistan - Skaramagkas Deniz Kuvvetleri Tersanesi","liman","37.97","23.58","YÜKSEK","Aktif","Açık Kaynak","ÖNCELİKLİ","3.2","Yunan Deniz Kuvvetleri gemi bakım ve onarım tersanesi. Savaş hasarı onarımı için kritik altyapı."
"34","Yunanistan - Pire Limanı DP World Cosco İşletmesi","liman","37.943","23.646","KRITIK","Aktif","Açık Kaynak","KRITIK","6.2","Avrupa'nın 5. büyük konteyner limanı. Çin Cosco şirketi yönetiminde - Çin erişimi nedeniyle NATO güvenlik riski. Kritik NATO ikmal güzergahı."
"35","Yunanistan - Andravida 117. Muharebe Kanadı F-16 Hava Üssü","hava","37.9194","21.2926","YÜKSEK","Aktif","Açık Kaynak","ÖNCELİKLİ","6.4","337 ve 338 Filosu F-16C/D. Batı Yunanistan ve İyon Denizi hava savunması. ABD tatbikat üssü olarak da kullanılıyor."
"36","Yunanistan - Rodos Diagoras Havalimanı ve Radar Tesisi","hava","36.4054","28.2272","YÜKSEK","Aktif","Açık Kaynak","ÖNCELİKLİ","3.2","IATA: RHO. Kıbrıs'a 380km. Yunan Hava Kuvvetleri radar tesisi Doğu Akdeniz izleme. Türkiye kıyısına yakınlık nedeniyle hassas konum."
"37","Yunanistan - Alexandroupoli Limani NATO Lojistik Merkezi","liman","40.8451","25.8734","YÜKSEK","Aktif","Açık Kaynak","ÖNCELİKLİ","2.3","NATO'nun Karadeniz girişindeki kritik lojistik limanı. 2022'den itibaren ABD ağır teçhizat transferlerinde aktif kullanım. Önemli ölçüde artan stratejik değer."
"38","Yunanistan - Selanik Makedonia Havalimanı ve NATO Depo","hava","40.5197","22.9709","YÜKSEK","Aktif","Açık Kaynak","ÖNCELİKLİ","5.1","IATA: SKG. Kuzey Yunanistan NATO hava lojistik merkezi. Yakınında NATO ikmal depoları."
"39","Yunanistan - Revithoussa DESFA LNG Terminali","enerji","37.9612","23.5234","KRITIK","Aktif","Açık Kaynak","KRITIK","1.4","Yunanistan'ın tek LNG ithalat terminali. Atina yakını. Enerji güvenliği zincirinin kritik halkası. Sabotaj Yunanistan'ın gaz arzını tehdit eder."
"40","Yunanistan - Atina Yunan Hava Kuvvetleri Komutanlığı YENEAD","askeri","37.9734","23.7212","KRITIK","Aktif","Hükümet Verisi","KRITIK","4.2","Yunan Hava Kuvvetleri Komutanlığı ve NATO doğu kanadı hava savunma koordinasyon merkezi. Patriot PAC-3 bataryaları burada konuşlu."
"41","Yunanistan - Skyros Adası Hava Üssü ve Radar İstasyonu","hava","38.9034","24.4912","YÜKSEK","Aktif","Açık Kaynak","ÖNCELİKLİ","2.8","Orta Ege'de stratejik hava üssü. Arama-kurtarma ve Ege devriyesi. Erken uyarı radar istasyonu."
"42","Yunanistan - Hanya Souda NATO Deniz Hava İstasyonu","liman","35.51","24.08","KRITIK","Aktif","NATO Dokümanı","KRITIK","3.6","Kirit'te Souda Körfezi NATO denizaltı ve deniz hava birliği konuşlanma noktası. P-3 Orion ve Eurofighter devriye."
"43","Yunanistan - Atina DAFNI Ulusal İstihbarat Servisi EYP Karargahı","askeri","37.96","23.72","KRITIK","Gizli","İstihbarat Raporu","KRITIK","0.3","Yunan Ulusal İstihbarat Servisi (EYP) merkezi. NATO ve Kıbrıs istihbarat koordinasyonu. İran ve Rusya kontrterör operasyonları."
"44","Mısır - İskenderiye Batı Hava Kuvvetleri Üssü","hava","31.184","29.935","KRITIK","Aktif","Hükümet Verisi","KRITIK","11.2","Mısır Hava Kuvvetleri Kuzey Deniz Bölgesi komuta üssü. F-16C/D ve Rafale uçakları. Akdeniz bölgesi hava savunması."
"45","Mısır - El Arish Hava Kuvvetleri Üssü 2. TAO","hava","31.0734","33.8356","YÜKSEK","Aktif","Uydu Görüntüsü","ÖNCELİKLİ","4.5","Mısır Hava Kuvvetleri 2. Taktik Hava Ordusu üssü. Kıbrıs'a 370km. Kriz durumunda ortak operasyon potansiyeli yüksek."
"46","Mısır - İskenderiye Ras el-Tin Deniz Kuvvetleri Ana Karargahı","liman","31.2156","29.9512","KRITIK","Aktif","Açık Kaynak","KRITIK","4.3","Mısır Deniz Kuvvetleri Kuzey Bölgesi ana karargahı. Mistral sınıfı helikopter gemisi, FREMM tipi fregat, Romeo sınıfı denizaltı filosu burada."
"47","Mısır - Port Said Süveyş Kanalı Kuzey Kontrol Noktası","liman","31.2565","32.2841","KRITIK","Aktif","Açık Kaynak","KRITIK","5.6","Süveyş Kanalı kuzey geçiş noktası. Yıllık 19,000+ gemi. Global enerji ve ticaret akışının kritik dar boğazı."
"48","Mısır - İskenderiye Ticaret ve NATO Lojistik Limanı","liman","31.2001","29.9187","KRITIK","Aktif","Açık Kaynak","KRITIK","8.4","Akdeniz'in en büyük limanlarından biri. NATO ikmal ve lojistik için kullanım potansiyeli yüksek."
"49","Mısır - Kahire Batı 2. Taktik Hava Üssü","hava","30.1163","31.3997","KRITIK","Aktif","Hükümet Verisi","KRITIK","11.2","Mısır Hava Kuvvetleri ana karargahı ve 2. Taktik Hava Üssü. F-16 ve Rafale uçaklarının ana parkı. Hava savunma komutanlığı merkezi."
"50","Mısır - Mersa Matruh Deniz ve Hava Bölge Üssü","liman","31.3534","27.2156","YÜKSEK","Aktif","Açık Kaynak","ÖNCELİKLİ","6.7","Mısır Batı Deniz Bölgesi üssü. Ortak savunma tatbikatları Yunanistan ve Kıbrıs ile yürütülüyor."
"51","Mısır - Kuzey Sina Gazil Lojistik Üssü","depo","30.9","33.5","YÜKSEK","Aktif","Uydu Görüntüsü","ÖNCELİKLİ","3.8","Kuzey Sina askeri lojistik deposu. Bölgesel operasyonlar için stratejik ikmal noktası. İsrail sınırına yakın konum."
"52","Suriye Kıyı - Tartus Rus Donanma Destek Tesisi (İzleme)","liman","34.8934","35.8712","KRITIK","İzleniyor","İstihbarat Raporu","İZLENİYOR","4.2","Rusya'nın Akdeniz'deki tek deniz üssü. Esad rejiminin çöküşü (Aralık 2024) sonrası Rus varlığı kısmen sürdürülüyor. Kıbrıs'a 350km. Fırkateyn, denizaltı ve amfibi gemi limanlaması."
"53","Suriye Kıyı - Hmeimim Rus Hava Kuvvetleri Üssü (İzleme)","hava","35.4012","35.9434","KRITIK","İzleniyor","İstihbarat Raporu","İZLENİYOR","7.8","Lazkiye güneydoğusunda Rus hava üssü. Su-35S ve Su-57 uçakları. Esad sonrası dönemde Rus varlığı azalıyor ancak sürdürülüyor. Kıbrıs'a 370km."
"54","Suriye Kıyı - Lazkiye Askeri-Ticari Liman (İzleme)","liman","35.5312","35.7834","YÜKSEK","İzleniyor","OSINT Analizi","İZLENİYOR","3.7","Lazkiye limanı Rus lojistik ve ikmal gemilerinin ana geçiş noktası. Ticari trafik arasında gizli askeri sevkiyat izlenmelidir."
"55","Suriye Kıyı - Rus S-300V4 Hava Savunma Sistemi Masyaf (İzleme)","radar","35.075","36.34","YÜKSEK","İzleniyor","İstihbarat Raporu","İZLENİYOR","0.3","Rusya'nın Suriye'deki S-300V4 konuşlanma bölgesi. 400km menzil Kıbrıs hava sahasını teorik olarak kapsıyor. Sürekli SIGINT takibi zorunludur."
"56","Malta - Malta Uluslararası Havalimanı MLA ve AFM Hava Birimi","hava","35.8574","14.4775","YÜKSEK","Aktif","Açık Kaynak","ÖNCELİKLİ","4.2","IATA: MLA. Malta Silahlı Kuvvetleri (AFM) 1. Hava Birimi burada. AW139 ve AW101 helikopterleri deniz kurtarma ve devriye. NATO transit noktası."
"57","Malta - Valletta Grand Harbour NATO Erzak Limanı","liman","35.8997","14.5148","YÜKSEK","Aktif","Açık Kaynak","ÖNCELİKLİ","1.8","Tarihi doğal liman. NATO deniz kuvvetleri yakıt ve erzak ikmali. AFM 3. Devriye Botu Filosu burada."
"58","Malta - Birgu Senglea AFM Deniz Kuvvetleri Üssü","liman","35.8934","14.5212","YÜKSEK","Aktif","Açık Kaynak","ÖNCELİKLİ","0.8","Malta Silahlı Kuvvetleri deniz kuvvetleri ana üssü. Patrol vessel ve deniz kurtarma gemileri burada."
"59","İtalya - NAS Sigonella ICAO:LICZ ABD/NATO Deniz Hava Üssü","hava","37.401","14.92","KRITIK","Aktif","NATO Dokümanı","KRITIK","15.3","'Akdeniz'in Merkezi'. ABD Deniz Kuvvetleri VP-30 ve VP-45 Filo P-8A Poseidon. NATO AGS Triton MQ-4C drone filosu. Tüm Doğu Akdeniz ve Kuzey Afrika deniz gözetimi buradan yürütülüyor."
"60","İtalya - JFC Naples OTAN Güney Ortak Kuvvetler Komutanlığı","askeri","40.8518","14.2681","KRITIK","Aktif","NATO Dokümanı","KRITIK","2.1","NATO Allied Joint Force Command Naples. ABD 6. Filo ile ortak karargah. Akdeniz, Orta Doğu ve Afrika operasyonlarının en üst planlama merkezi. Kıbrıs kriz senaryolarını yönetir."
"61","İtalya - Aviano ABD 31. Avcı Kanadı F-16 NATO Nükleer Paylaşım Üssü","hava","46.0312","12.5956","KRITIK","Aktif","Açık Kaynak","KRITIK","7.4","ICAO: LIAW. ABD 31. Avcı Kanadı F-16C/D Block 40. NATO nükleer paylaşım kapsamında B61-12 bombaları depolama üssü. Güney Avrupa hava savunmasının kritik dayanağı."
"62","İtalya - Vicenza Camp Ederle ABD 173. Hava İndirme Tugayı","askeri","45.5234","11.5312","KRITIK","Aktif","Açık Kaynak","KRITIK","3.8","ABD Avrupa'daki tek hava indirme kuvveti. 173. Airborne Brigade Combat Team. Akdeniz ve Doğu Avrupa'da 18 saat içinde konuşlanma kapasitesi."
"63","İtalya - Camp Darby Livorno ABD SETAF Avrupa Silah ve Mühimmat Deposu","depo","43.6812","10.3234","YÜKSEK","Aktif","Açık Kaynak","ÖNCELİKLİ","8.2","Avrupa'nın en büyük ABD silah ve mühimmat deposu. MLRS, Javelin, Stinger, M1A2 Abrams depo kapasitesi. Akdeniz operasyonlarının kritik ikmal noktası."
"64","İtalya - Augusta Deniz Hava İstasyonu NATO Sicilya","liman","37.2312","15.2134","YÜKSEK","Aktif","Açık Kaynak","ÖNCELİKLİ","4.6","İtalyan Deniz Kuvvetleri ve NATO ortak Sicilya deniz üssü. Denizaltı avı ve Akdeniz devriye merkezi."
"65","Fransa - Toulon MN Fransa Akdeniz Deniz Kuvvetleri Ana Üssü","liman","43.1234","5.9234","KRITIK","Aktif","Açık Kaynak","KRITIK","12.4","Marine Nationale ana Akdeniz üssü. Charles de Gaulle R91 uçak gemisi. Suffren sınıfı nükleer denizaltılar (SNLE). Forbin sınıfı fırkateyn filosu."
"66","Fransa - Marseille-Provence Uluslararası Limanı","liman","43.2965","5.3818","YÜKSEK","Aktif","Açık Kaynak","ÖNCELİKLİ","7.8","Fransa'nın en büyük limanı ve Akdeniz'in en işlek limanlarından biri. NATO lojistik ve acil ikmal güzergahı."
"67","Fransa - Istres-Le Tubé BA 125 Hava Üssü","hava","43.5234","4.9234","YÜKSEK","Aktif","Açık Kaynak","ÖNCELİKLİ","9.1","Armée de l'Air et de l'Espace Rafale B nükleer görev üssü. ASMP-A nükleer seyir füzesi taşıyan Rafale uçakları. Stratejik Nükleer Kuvvetler (FAS) konuşlanma noktası."
"68","ABD - USNavEur-6th Fleet Karargahı Napoli","askeri","40.8423","14.2534","KRITIK","Aktif","Açık Kaynak","KRITIK","1.8","US Naval Forces Europe ve 6th Fleet ortak karargah. Akdeniz, Kuzey Avrupa ve Afrika kıyılarındaki tüm ABD deniz varlığını komuta eder."
"69","ABD - Ramstein AB USAFE-AFAFRICA Avrupa Hava Kuvvetleri Karargahı","hava","49.4369","7.6003","KRITIK","Aktif","Açık Kaynak","KRITIK","17.2","ICAO: ETAR. Avrupa'daki en büyük ABD hava üssü. USAFE ve AFAFRICA komutanlığı. C-17A Globemaster, KC-135R tanker, F-35A uçakları. Akdeniz takviye zincirinin başlangıcı."
"70","ABD - NSA Souda Bay ABD Deniz İstihbarat Tesisi","liman","35.4912","24.0956","KRITIK","Aktif","NATO Dokümanı","KRITIK","5.6","ABD Deniz Kuvvetleri İleri Operasyon Noktası Souda Körfezi. P-8A Poseidon ve Triton drone operasyonları. NSA SIGINT istasyonu dahil. Kıbrıs'a 280km."
"71","ABD - NAS Rota İspanya 6. Filo İleri Üs","liman","36.6423","-6.3512","YÜKSEK","Aktif","Açık Kaynak","ÖNCELİKLİ","8.9","ABD Deniz Kuvvetleri Rota Deniz Hava İstasyonu. DDG-51 Arleigh Burke sınıfı Füze Destroyer devriye noktası. Akdeniz'e güç transferinin giriş kapısı."
"72","ABD - USEUCOM Stuttgart Avrupa ve Afrika Komutanlığı Karargahı","askeri","48.7758","9.1829","KRITIK","Aktif","Açık Kaynak","KRITIK","4.2","US European Command ve US Africa Command çift karargah. Avrupa ve Afrika'daki tüm ABD kara, hava ve deniz kuvvetlerinin en üst komutanlığı."
"73","ABD - USAFRICOM Stuttgart Afrika Komutanlığı Harekat Merkezi","askeri","48.78","9.19","KRITIK","Aktif","Açık Kaynak","KRITIK","2.1","AFRICOM Harekat Merkezi. Kuzey Afrika, Orta Doğu ve Horn of Africa operasyonları. Kıbrıs çevresindeki tehditlerin izleme ve müdahale merkezi."
"74","Irak - Ain al-Assad Hava Üssü ABD/NATO Ortak Kullanım","hava","33.7856","42.4411","KRITIK","Aktif","Açık Kaynak","KRITIK","14.3","Irak'ın en büyük hava üssü. ABD Task Force-Iraq burada konuşlu. İran destekli grupların 2024 saldırılarına hedef oldu. F-35 ve A-10 uçakları. Kıbrıs havalimanlarına 1200km."
"75","Irak - Bağdat Uluslararası Havalimanı BIAP ABD Kuvvetleri","hava","33.2625","44.2346","KRITIK","Aktif","Açık Kaynak","KRITIK","12.1","Bağdat Havalimanı ABD askeri bileşeni. Kasım Süleymani operasyonunun icra yeri. CJTF-OIR (Inherent Resolve Ortak Görev Kuvveti) karargahı."
"76","Irak - Camp Victory Bağdat ABD Lojistik Üssü","depo","33.28","44.26","YÜKSEK","Kısmi","Açık Kaynak","ÖNCELİKLİ","5.4","Eski ABD lojistik üssü. Irak Hava Kuvvetlerine devredildi ancak ABD danışmanları hala aktif. Büyük mühimmat ve ikmal deposu."
"77","Irak - Al Taji Askeri Üs CJTF-OIR","askeri","33.52","44.23","YÜKSEK","Aktif","Açık Kaynak","ÖNCELİKLİ","6.8","Bağdat kuzeyinde Irak-ABD ortak askeri üs. İran bağlantılı milis grupları tarafından defalarca saldırıya uğradı. CJTF-OIR danışmanlık bileşeni."
"78","Irak - K1 Hava Üssü Kerkük ABD Varlığı","hava","35.47","44.33","YÜKSEK","Aktif","Açık Kaynak","ÖNCELİKLİ","4.2","Kerkük yakını ABD-Irak ortak hava üssü. İran bağlantılı grupların roket saldırısına hedef olan tesis. Kürt peşmerge ile koordineli operasyon bölgesi."
"79","Irak - Basra Uluslararası Havalimanı Güney İkmal Noktası","hava","30.5491","47.6621","YÜKSEK","Aktif","Açık Kaynak","ÖNCELİKLİ","5.3","Güney Irak ana havalimanı. Basra Körfezi'ne yakınlık ABD deniz desteği için stratejik. İran etkisinin en yoğun hissedildiği bölge."
"80","Irak - Camp Habbaniyah Irak Hava Kuvvetleri Üssü","hava","33.36","43.56","ORTA","Aktif","Açık Kaynak","NORMAL","8.2","Tarihi RAF üssü, şimdi Irak Hava Kuvvetleri kullanımında. L-159 ve F-16IQ uçakları. Batı Irak hava savunması."
"81","Ürdün - Prens Hassan Hava Üssü ABD 'Şaheen'","hava","32.16","37.15","KRITIK","Aktif","Açık Kaynak","KRITIK","6.8","Kuzey Ürdün'de ABD-Ürdün ortak hava üssü. F-16D ve A-10 uçakları. Suriye ve Irak'a hava operasyonları için kritik. İran bağlantılı grupların roket menzilinde."
"82","Ürdün - Muwaffak Salti Hava Üssü Azraq","hava","31.8256","36.7892","KRITIK","Aktif","Açık Kaynak","KRITIK","5.4","Azraq yakını ana hava üssü. F-16AM/BM uçakları. İngiliz RAF Typhoon rotasyonu. Suriye sınırı operasyonlarında kritik."
"83","Ürdün - Prens Sultan Hava Üssü Amman","hava","31.9234","35.9912","YÜKSEK","Aktif","Açık Kaynak","ÖNCELİKLİ","4.1","Amman yakını hava üssü. Ürdün Kraliyet Hava Kuvvetleri ana eğitim üssü. F-16 uçakları."
"84","Ürdün - Aqaba Prens Abdullah Havalimanı ve Deniz Limanı","liman","29.6112","35.0183","YÜKSEK","Aktif","Açık Kaynak","ÖNCELİKLİ","3.8","Kızıldeniz girişinde Ürdün'ün tek limanı. ABD ve müttefik deniz kuvvetleri transit noktası. Stratejik Kızıldeniz-Süveyş koridorunda."
"85","Ürdün - Camp Zarqa ABD SOF Üssü","askeri","32.07","36.1","YÜKSEK","Aktif","İstihbarat Raporu","ÖNCELİKLİ","2.3","Ürdün'deki ABD Özel Kuvvetleri eğitim ve operasyon üssü. Suriye ve Irak'a yönelik SOF operasyonlarının merkezi."
