ID,Tesis Adı,Kategori,Enlem,Boylam,Kritiklik,Durum,Kaynak,Etiket,Tahmini_Alan_km2,Koordinat_Kaynagi,Detayli_Stratejik_Aciklama
11,Sdot Micha Jericho Füze Üssü,Bilinmiyor,31.699041,34.865258,100,KRİTİK,FAS,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,"ID-11 Stratejik Füze Ünitesi: Jericho-3 balistik füze sistemlerinin konuşlandığı yeraltı fırlatma platformu. İran'ın stratejik derinliğine doğrudan erişim kapasitesi sağlar. Hedefleme verileri 'Wing of Zion' ve Glilot üzerinden senkronize edilir. Olası bir saldırıda 'İkinci Vuruş' kapasitesini korumak amacıyla GPS karıştırma ve multispektral kamuflaj teknikleri uygulanmaktadır. Komuta zinciri, NCMC sığınağına yedekli fiber hatlarla bağlıdır."
12,Palmachim Füze Test Sahası,Bilinmiyor,31.897154,34.693444,98,KRİTİK,FAS,Gerçek Operasyonel Hedef,1.0,OSINT Teyitli,"ID-12 Stratejik Füze Ünitesi: Jericho-3 balistik füze sistemlerinin konuşlandığı yeraltı fırlatma platformu. İran'ın stratejik derinliğine doğrudan erişim kapasitesi sağlar. Hedefleme verileri 'Wing of Zion' ve Glilot üzerinden senkronize edilir. Olası bir saldırıda 'İkinci Vuruş' kapasitesini korumak amacıyla GPS karıştırma ve multispektral kamuflaj teknikleri uygulanmaktadır. Komuta zinciri, NCMC sığınağına yedekli fiber hatlarla bağlıdır."
13,Jericho Silo Bölgesi A,Bilinmiyor,31.767533,34.999213,99,KONTROL ET,FAS,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,"ID-13 Stratejik Füze Ünitesi: Jericho-3 balistik füze sistemlerinin konuşlandığı yeraltı fırlatma platformu. İran'ın stratejik derinliğine doğrudan erişim kapasitesi sağlar. Hedefleme verileri 'Wing of Zion' ve Glilot üzerinden senkronize edilir. Olası bir saldırıda 'İkinci Vuruş' kapasitesini korumak amacıyla GPS karıştırma ve multispektral kamuflaj teknikleri uygulanmaktadır. Komuta zinciri, NCMC sığınağına yedekli fiber hatlarla bağlıdır."
14,Jericho Silo Bölgesi B,Bilinmiyor,31.500042,34.950819,99,KONTROL ET,FAS,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,"ID-14 Stratejik Füze Ünitesi: Jericho-3 balistik füze sistemlerinin konuşlandığı yeraltı fırlatma platformu. İran'ın stratejik derinliğine doğrudan erişim kapasitesi sağlar. Hedefleme verileri 'Wing of Zion' ve Glilot üzerinden senkronize edilir. Olası bir saldırıda 'İkinci Vuruş' kapasitesini korumak amacıyla GPS karıştırma ve multispektral kamuflaj teknikleri uygulanmaktadır. Komuta zinciri, NCMC sığınağına yedekli fiber hatlarla bağlıdır."
15,Jericho Silo Bölgesi C,Bilinmiyor,31.651046,34.915737,98,KONTROL ET,FAS,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,"ID-15 Stratejik Füze Ünitesi: Jericho-3 balistik füze sistemlerinin konuşlandığı yeraltı fırlatma platformu. İran'ın stratejik derinliğine doğrudan erişim kapasitesi sağlar. Hedefleme verileri 'Wing of Zion' ve Glilot üzerinden senkronize edilir. Olası bir saldırıda 'İkinci Vuruş' kapasitesini korumak amacıyla GPS karıştırma ve multispektral kamuflaj teknikleri uygulanmaktadır. Komuta zinciri, NCMC sığınağına yedekli fiber hatlarla bağlıdır."
16,Jericho Silo Bölgesi D (Negev),Bilinmiyor,30.94917,35.033369,97,KONTROL ET,Uydu,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,"ID-16 Stratejik Füze Ünitesi: Jericho-3 balistik füze sistemlerinin konuşlandığı yeraltı fırlatma platformu. İran'ın stratejik derinliğine doğrudan erişim kapasitesi sağlar. Hedefleme verileri 'Wing of Zion' ve Glilot üzerinden senkronize edilir. Olası bir saldırıda 'İkinci Vuruş' kapasitesini korumak amacıyla GPS karıştırma ve multispektral kamuflaj teknikleri uygulanmaktadır. Komuta zinciri, NCMC sığınağına yedekli fiber hatlarla bağlıdır."
17,Negev Füze Tünel Kompleksi 1,Depo/Lojistik,31.099384,35.050092,96,KRİTİK,Uydu,Gerçek Operasyonel Hedef,3.0,Orijinal/Algoritmik,"ID-17 Stratejik Füze Ünitesi: Jericho-3 balistik füze sistemlerinin konuşlandığı yeraltı fırlatma platformu. İran'ın stratejik derinliğine doğrudan erişim kapasitesi sağlar. Hedefleme verileri 'Wing of Zion' ve Glilot üzerinden senkronize edilir. Olası bir saldırıda 'İkinci Vuruş' kapasitesini korumak amacıyla GPS karıştırma ve multispektral kamuflaj teknikleri uygulanmaktadır. Komuta zinciri, NCMC sığınağına yedekli fiber hatlarla bağlıdır."
18,Negev Füze Tünel Kompleksi 2,Depo/Lojistik,31.050451,34.983316,96,KRİTİK,Uydu,Gerçek Operasyonel Hedef,3.0,Orijinal/Algoritmik,"ID-18 Stratejik Füze Ünitesi: Jericho-3 balistik füze sistemlerinin konuşlandığı yeraltı fırlatma platformu. İran'ın stratejik derinliğine doğrudan erişim kapasitesi sağlar. Hedefleme verileri 'Wing of Zion' ve Glilot üzerinden senkronize edilir. Olası bir saldırıda 'İkinci Vuruş' kapasitesini korumak amacıyla GPS karıştırma ve multispektral kamuflaj teknikleri uygulanmaktadır. Komuta zinciri, NCMC sığınağına yedekli fiber hatlarla bağlıdır."
19,Tel Nof Füze Depo Alanı,Depo/Lojistik,31.839042,34.824094,92,KRİTİK,GlobalSec,Gerçek Operasyonel Hedef,3.0,OSINT Teyitli,"ID-19 Stratejik Füze Ünitesi: Jericho-3 balistik füze sistemlerinin konuşlandığı yeraltı fırlatma platformu. İran'ın stratejik derinliğine doğrudan erişim kapasitesi sağlar. Hedefleme verileri 'Wing of Zion' ve Glilot üzerinden senkronize edilir. Olası bir saldırıda 'İkinci Vuruş' kapasitesini korumak amacıyla GPS karıştırma ve multispektral kamuflaj teknikleri uygulanmaktadır. Komuta zinciri, NCMC sığınağına yedekli fiber hatlarla bağlıdır."
20,Hatzerim Füze Bakım,Bilinmiyor,31.233421,34.666203,88,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1.0,OSINT Teyitli,"ID-20 Stratejik Füze Ünitesi: Jericho-3 balistik füze sistemlerinin konuşlandığı yeraltı fırlatma platformu. İran'ın stratejik derinliğine doğrudan erişim kapasitesi sağlar. Hedefleme verileri 'Wing of Zion' ve Glilot üzerinden senkronize edilir. Olası bir saldırıda 'İkinci Vuruş' kapasitesini korumak amacıyla GPS karıştırma ve multispektral kamuflaj teknikleri uygulanmaktadır. Komuta zinciri, NCMC sığınağına yedekli fiber hatlarla bağlıdır."
21,Nevatim Uzun Menzilli Depo,Depo/Lojistik,31.204549,35.010996,90,KRİTİK,Uydu,Gerçek Operasyonel Hedef,3.0,OSINT Teyitli,"ID-21 Stratejik Füze Ünitesi: Jericho-3 balistik füze sistemlerinin konuşlandığı yeraltı fırlatma platformu. İran'ın stratejik derinliğine doğrudan erişim kapasitesi sağlar. Hedefleme verileri 'Wing of Zion' ve Glilot üzerinden senkronize edilir. Olası bir saldırıda 'İkinci Vuruş' kapasitesini korumak amacıyla GPS karıştırma ve multispektral kamuflaj teknikleri uygulanmaktadır. Komuta zinciri, NCMC sığınağına yedekli fiber hatlarla bağlıdır."
22,Be'er Sheva Füze Lojistik,Depo/Lojistik,31.215825,34.799945,82,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,3.0,Orijinal/Algoritmik,"ID-22 Stratejik Füze Ünitesi: Jericho-3 balistik füze sistemlerinin konuşlandığı yeraltı fırlatma platformu. İran'ın stratejik derinliğine doğrudan erişim kapasitesi sağlar. Hedefleme verileri 'Wing of Zion' ve Glilot üzerinden senkronize edilir. Olası bir saldırıda 'İkinci Vuruş' kapasitesini korumak amacıyla GPS karıştırma ve multispektral kamuflaj teknikleri uygulanmaktadır. Komuta zinciri, NCMC sığınağına yedekli fiber hatlarla bağlıdır."
23,Eilat Füze Bataryası,Bilinmiyor,29.550052,34.951341,80,KONTROL ET,GlobalSec,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,"ID-23 Stratejik Füze Ünitesi: Jericho-3 balistik füze sistemlerinin konuşlandığı yeraltı fırlatma platformu. İran'ın stratejik derinliğine doğrudan erişim kapasitesi sağlar. Hedefleme verileri 'Wing of Zion' ve Glilot üzerinden senkronize edilir. Olası bir saldırıda 'İkinci Vuruş' kapasitesini korumak amacıyla GPS karıştırma ve multispektral kamuflaj teknikleri uygulanmaktadır. Komuta zinciri, NCMC sığınağına yedekli fiber hatlarla bağlıdır."
24,Nevatim Hava Üssü,Hava Üssü,31.204789,35.011364,95,KRİTİK,Wikipedia,Gerçek Operasyonel Hedef,20.0,OSINT Teyitli,"ID-24 Nevatim Hava Üssü: Hava üstünlüğü ve derin darbe (Deep Strike) operasyonlarının ana kalkış noktası. F-35I Adir ve F-15I uçaklarının hangarları, mühimmat depoları ve yakıt hatları birbirine yeraltı tünelleri ile bağlıdır. Pistin vurulması durumunda alternatif kalkış rampaları ve otoyol şeritleri devreye sokulabilir."
25,Tel-Nof Hava Üssü,Hava Üssü,31.8397,34.8219,97,KRİTİK,FAS,Gerçek Operasyonel Hedef,20.0,Orijinal/Algoritmik,"ID-25 Tel-Nof Hava Üssü: Hava üstünlüğü ve derin darbe (Deep Strike) operasyonlarının ana kalkış noktası. F-35I Adir ve F-15I uçaklarının hangarları, mühimmat depoları ve yakıt hatları birbirine yeraltı tünelleri ile bağlıdır. Pistin vurulması durumunda alternatif kalkış rampaları ve otoyol şeritleri devreye sokulabilir."
26,Hatzerim Hava Üssü,Hava Üssü,31.233731,34.666859,92,KRİTİK,FAS,Gerçek Operasyonel Hedef,20.0,OSINT Teyitli,"ID-26 Hatzerim Hava Üssü: Hava üstünlüğü ve derin darbe (Deep Strike) operasyonlarının ana kalkış noktası. F-35I Adir ve F-15I uçaklarının hangarları, mühimmat depoları ve yakıt hatları birbirine yeraltı tünelleri ile bağlıdır. Pistin vurulması durumunda alternatif kalkış rampaları ve otoyol şeritleri devreye sokulabilir."
27,Palmachim Hava Üssü,Hava Üssü,31.89774,34.693353,98,KRİTİK,FAS,Gerçek Operasyonel Hedef,1.0,OSINT Teyitli,"ID-27 Stratejik Füze Ünitesi: Jericho-3 balistik füze sistemlerinin konuşlandığı yeraltı fırlatma platformu. İran'ın stratejik derinliğine doğrudan erişim kapasitesi sağlar. Hedefleme verileri 'Wing of Zion' ve Glilot üzerinden senkronize edilir. Olası bir saldırıda 'İkinci Vuruş' kapasitesini korumak amacıyla GPS karıştırma ve multispektral kamuflaj teknikleri uygulanmaktadır. Komuta zinciri, NCMC sığınağına yedekli fiber hatlarla bağlıdır."
28,Ramat David Hava Üssü,Hava Üssü,32.666896,35.183231,90,KRİTİK,Wikipedia,Gerçek Operasyonel Hedef,20.0,OSINT Teyitli,"ID-28 Ramat David Hava Üssü: Hava üstünlüğü ve derin darbe (Deep Strike) operasyonlarının ana kalkış noktası. F-35I Adir ve F-15I uçaklarının hangarları, mühimmat depoları ve yakıt hatları birbirine yeraltı tünelleri ile bağlıdır. Pistin vurulması durumunda alternatif kalkış rampaları ve otoyol şeritleri devreye sokulabilir."
29,Ovda Hava Üssü,Hava Üssü,29.933333,34.933333,88,AKTİF,Wikipedia,Gerçek Operasyonel Hedef,1.0,OSINT Teyitli,"ID-29 Ovda Hava Üssü: Hava üstünlüğü ve derin darbe (Deep Strike) operasyonlarının ana kalkış noktası. F-35I Adir ve F-15I uçaklarının hangarları, mühimmat depoları ve yakıt hatları birbirine yeraltı tünelleri ile bağlıdır. Pistin vurulması durumunda alternatif kalkış rampaları ve otoyol şeritleri devreye sokulabilir."
30,Ramon Hava Üssü,Hava Üssü,30.776944,34.666667,85,AKTİF,Wikipedia,Gerçek Operasyonel Hedef,1.0,OSINT Teyitli,"ID-30 Ramon Hava Üssü: Hava üstünlüğü ve derin darbe (Deep Strike) operasyonlarının ana kalkış noktası. F-35I Adir ve F-15I uçaklarının hangarları, mühimmat depoları ve yakıt hatları birbirine yeraltı tünelleri ile bağlıdır. Pistin vurulması durumunda alternatif kalkış rampaları ve otoyol şeritleri devreye sokulabilir."
31,Hatzor Hava Üssü,Hava Üssü,31.763086,34.72747,83,AKTİF,GlobalSec,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,"ID-31 Hatzor Hava Üssü: Hava üstünlüğü ve derin darbe (Deep Strike) operasyonlarının ana kalkış noktası. F-35I Adir ve F-15I uçaklarının hangarları, mühimmat depoları ve yakıt hatları birbirine yeraltı tünelleri ile bağlıdır. Pistin vurulması durumunda alternatif kalkış rampaları ve otoyol şeritleri devreye sokulabilir."
32,Ein Shemer Hava Üssü,Hava Üssü,32.4378,35.0072,80,AKTİF,GlobalSec,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,"ID-32 Ein Shemer Hava Üssü: Hava üstünlüğü ve derin darbe (Deep Strike) operasyonlarının ana kalkış noktası. F-35I Adir ve F-15I uçaklarının hangarları, mühimmat depoları ve yakıt hatları birbirine yeraltı tünelleri ile bağlıdır. Pistin vurulması durumunda alternatif kalkış rampaları ve otoyol şeritleri devreye sokulabilir."
33,Megiddo Askeri Havalimanı,Hava Üssü,32.5973,35.2288,75,AKTİF,Wikipedia,Gerçek Operasyonel Hedef,20.0,Orijinal/Algoritmik,ID-33 Deniz Strateji Noktası (Megiddo Askeri Havalimanı): Akdeniz'deki deniz hakimiyeti ve nükleer kapasiteli denizaltıların lojistik ikmal hattı. Denizaltı penleri ve yeraltı torpido depoları sığınak delici mühimmata karşı korumalıdır. Barak-8 gemi konuşlu hava savunma sistemleri bölgenin ana kalkanıdır.
34,Shlomo Askeri Havalimanı (Eilat),Hava Üssü,29.5611,34.9436,78,AKTİF,Wikipedia,Gerçek Operasyonel Hedef,20.0,Orijinal/Algoritmik,ID-34 Deniz Strateji Noktası (Shlomo Askeri Havalimanı (Eilat)): Akdeniz'deki deniz hakimiyeti ve nükleer kapasiteli denizaltıların lojistik ikmal hattı. Denizaltı penleri ve yeraltı torpido depoları sığınak delici mühimmata karşı korumalıdır. Barak-8 gemi konuşlu hava savunma sistemleri bölgenin ana kalkanıdır.
35,Lod Ben Gurion Askeri Bölge,Askeri,31.9953,34.8706,82,AKTİF,Wikipedia,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-35 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 82 seviyesinde korunmaktadır.
36,Sde Dov Hava Üssü (kapalı),Hava Üssü,32.1008,34.7822,60,PASİF,Wikipedia,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,"ID-36 Sde Dov Hava Üssü (kapalı): Hava üstünlüğü ve derin darbe (Deep Strike) operasyonlarının ana kalkış noktası. F-35I Adir ve F-15I uçaklarının hangarları, mühimmat depoları ve yakıt hatları birbirine yeraltı tünelleri ile bağlıdır. Pistin vurulması durumunda alternatif kalkış rampaları ve otoyol şeritleri devreye sokulabilir."
37,Atarot Hava Üssü (kapalı),Hava Üssü,31.867144,35.216393,55,PASİF,Wikipedia,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,"ID-37 Atarot Hava Üssü (kapalı): Hava üstünlüğü ve derin darbe (Deep Strike) operasyonlarının ana kalkış noktası. F-35I Adir ve F-15I uçaklarının hangarları, mühimmat depoları ve yakıt hatları birbirine yeraltı tünelleri ile bağlıdır. Pistin vurulması durumunda alternatif kalkış rampaları ve otoyol şeritleri devreye sokulabilir."
38,Tel Nof Güney Apron,Hava Üssü,31.839705,34.823747,85,AKTİF,Uydu,Gerçek Operasyonel Hedef,1.0,OSINT Teyitli,"ID-38 Tel Nof Güney Apron: Hava üstünlüğü ve derin darbe (Deep Strike) operasyonlarının ana kalkış noktası. F-35I Adir ve F-15I uçaklarının hangarları, mühimmat depoları ve yakıt hatları birbirine yeraltı tünelleri ile bağlıdır. Pistin vurulması durumunda alternatif kalkış rampaları ve otoyol şeritleri devreye sokulabilir."
39,Nevatim Güney Hangar Alanı,Hava Üssü,31.205221,35.011259,88,KONTROL ET,Uydu,Gerçek Operasyonel Hedef,1.0,OSINT Teyitli,"ID-39 Nevatim Güney Hangar Alanı: Hava üstünlüğü ve derin darbe (Deep Strike) operasyonlarının ana kalkış noktası. F-35I Adir ve F-15I uçaklarının hangarları, mühimmat depoları ve yakıt hatları birbirine yeraltı tünelleri ile bağlıdır. Pistin vurulması durumunda alternatif kalkış rampaları ve otoyol şeritleri devreye sokulabilir."
40,Ovda Kuzey Apron,Hava Üssü,29.949723,34.928666,82,KONTROL ET,Uydu,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,"ID-40 Ovda Kuzey Apron: Hava üstünlüğü ve derin darbe (Deep Strike) operasyonlarının ana kalkış noktası. F-35I Adir ve F-15I uçaklarının hangarları, mühimmat depoları ve yakıt hatları birbirine yeraltı tünelleri ile bağlıdır. Pistin vurulması durumunda alternatif kalkış rampaları ve otoyol şeritleri devreye sokulabilir."
41,Hatzerim Doğu Tesis,Hava Üssü,31.233725,34.666546,85,KONTROL ET,Uydu,Gerçek Operasyonel Hedef,1.0,OSINT Teyitli,"ID-41 Hatzerim Doğu Tesis: Hava üstünlüğü ve derin darbe (Deep Strike) operasyonlarının ana kalkış noktası. F-35I Adir ve F-15I uçaklarının hangarları, mühimmat depoları ve yakıt hatları birbirine yeraltı tünelleri ile bağlıdır. Pistin vurulması durumunda alternatif kalkış rampaları ve otoyol şeritleri devreye sokulabilir."
42,Ramat David Güney Bölge,Hava Üssü,32.666728,35.183614,82,KONTROL ET,Uydu,Gerçek Operasyonel Hedef,1.0,OSINT Teyitli,"ID-42 Ramat David Güney Bölge: Hava üstünlüğü ve derin darbe (Deep Strike) operasyonlarının ana kalkış noktası. F-35I Adir ve F-15I uçaklarının hangarları, mühimmat depoları ve yakıt hatları birbirine yeraltı tünelleri ile bağlıdır. Pistin vurulması durumunda alternatif kalkış rampaları ve otoyol şeritleri devreye sokulabilir."
43,Tel Nof İHA Hangarı,Bilinmiyor,31.839191,34.823327,88,KONTROL ET,Uydu,Gerçek Operasyonel Hedef,1.0,OSINT Teyitli,ID-43 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 88 seviyesinde korunmaktadır.
44,Palmachim İHA Operasyon,Bilinmiyor,31.897263,34.692502,90,KONTROL ET,Uydu,Gerçek Operasyonel Hedef,1.0,OSINT Teyitli,ID-44 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 90 seviyesinde korunmaktadır.
45,Nevatim İHA Bölümü,Bilinmiyor,31.204522,35.01147,87,KONTROL ET,Uydu,Gerçek Operasyonel Hedef,1.0,OSINT Teyitli,ID-45 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 87 seviyesinde korunmaktadır.
46,Ramon İHA Alanı,Bilinmiyor,30.780851,34.660405,80,KONTROL ET,Uydu,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-46 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 80 seviyesinde korunmaktadır.
47,Ovda İHA Testi,Bilinmiyor,29.94384,34.941423,82,KONTROL ET,Uydu,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-47 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 82 seviyesinde korunmaktadır.
48,Iron Dome Bataryası - Palmachim,Hava Üssü,31.897534,34.693021,92,KRİTİK,Wikipedia,Gerçek Operasyonel Hedef,1.0,OSINT Teyitli,ID-48 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 92 seviyesinde korunmaktadır.
49,Arrow-3 Bataryası - Tel Shahar,Hava Üssü,31.799403,34.849241,95,KRİTİK,Wikipedia,Gerçek Operasyonel Hedef,1.0,Orijinal/Algoritmik,ID-49 Genel Destek ve Lojistik Birimi: IDF'nin bölgesel operasyonel sürekliliğini sağlayan ikmal ve bakım düğümü. Mühimmat dağıtımı ve zırhlı araç onarımı için kritik kavşaktır. 95 seviyesinde korunmaktadır.
