"ID","Tesis Adı","Kategori","Enlem","Boylam","Kritiklik","Durum","Kaynak","Etiket","Tahmini_Alan_km2","Detayli_Stratejik_Aciklama"
"42","ABD - USNavEur 6th Fleet Karargahı Napoli İtalya","askeri","40.8423","14.2534","96","Aktif","DOĞRULANDI | Koordinat: USNavy resmi kaynak teyit | 6th Fleet/NAVEUR-NAVAF Napoli teyit | JFC Naples ile ortak kompleks teyit","ACİL KORUMA","1.8","US Naval Forces Europe ve 6th Fleet ortak karargah. Akdeniz ve Afrika kıyısındaki tüm ABD deniz varlığını komuta eder."
"43","ABD - Ramstein AB ETAR USAFE-AFAFRICA HK Karargahı","hava","49.4369","7.6003","94","Aktif","DOĞRULANDI | Koordinat: ICAO:ETAR USAF resmi kaynak teyit | USAFE ve AFAFRICA komutanlığı teyit | C-17A KC-135R F-35A varlığı teyit | Avrupa en büyük ABD hava üssü teyit","ACİL KORUMA","17.2","Avrupa'daki en büyük ABD hava üssü. USAFE ve AFAFRICA komutanlığı. C-17A, KC-135R, F-35A uçakları. Akdeniz takviye zincirinin başlangıcı."
"44","ABD - NSA Souda Bay Krit P-8A MQ-4C İstihbarat Üssü","liman","35.4912","24.0956","97","Aktif","DOĞRULANDI | Koordinat: military.com+USNavy resmi kaynak teyit | P-8A ve MQ-4C Triton operasyonları teyit | NSA SIGINT istasyonu teyit | 95th RS Det.1 varlığı military.com teyit | Kıbrıs'a 280km teyit","ACİL KORUMA","5.6","ABD Deniz Kuvvetleri İleri Operasyon Noktası + NSA SIGINT istasyonu. P-8A Poseidon ve MQ-4C Triton operasyonları. 95th Recon Sqn Det.1 burada. Kıbrıs'a 280km."
"45","ABD - NAS Rota İspanya LERT DDG Arleigh Burke Üssü","liman","36.6423","-6.3512","85","Aktif","DOĞRULANDI | Koordinat: USNavy resmi kaynak + ICAO:LERT teyit | DDG-51 Arleigh Burke Rota konuşlanması açık kaynak teyit | 6. Filo ileri üs rolü teyit","ACİL KORUMA","8.9","ABD Deniz Kuvvetleri Rota üssü. DDG-51 Arleigh Burke sınıfı füze destroyerlar burada konuşlu. Doğu Akdeniz güç transferinin giriş kapısı."
"46","ABD - USEUCOM USAFRICOM Stuttgart Çift Karargah","askeri","48.7758","9.1829","93","Aktif","DOĞRULANDI | Koordinat: US DoD resmi kaynak teyit | EUCOM ve AFRICOM Stuttgart Patch Barracks teyit","ACİL KORUMA","4.2","US European Command ve US Africa Command çift karargah. Avrupa ve Afrika'daki tüm ABD kuvvetlerinin en üst komutanlığı."
"47","Irak - Al-Asad Hava Üssü ORAA ABD Task Force-Iraq","hava","33.7856","42.4381","90","Kısmi","DOĞRULANDI | Koordinat: latitude.to+latlong.info+airportdatabase.net üçlü teyit | 33°47'4""N 42°26'16""E ICAO:ORAA IATA:IQA | Ocak 2020 İran balistik füze saldırısı bu koordinata doğrulandı | Ocak 2026 ABD çekilmesi Wikipedia teyit | 250-350 ABD personel Ekim 2025 kaldı Wikipedia teyit","İZLENİYOR","14.3","Irak'ın en büyük hava üssü. Ocak 2020 İran balistik füze saldırısına uğradı. Ocak 2026 itibarıyla ABD kuvvetleri büyük ölçüde çekildi, Irak kuvvetleri devraldı. Durum izleniyor."
"48","Irak - Erbil Uluslararası Havalimanı ORER ABD SOF Üssü","hava","36.2376","44.0088","88","Aktif","DOĞRULANDI | Koordinat: ICAO:ORER IATA:EBL resmi AIP teyit | Ocak 2020 İran füze saldırısı bu koordinata medya teyit | ABD SOF/CIA varlığı açık kaynak doğrulandı","ACİL KORUMA","8.6","Erbil havalimanı ABD askeri bileşeni. Kürdistan Bölgesel Yönetimi kontrolünde. Ocak 2020 İran balistik füze saldırısına maruz kaldı. ABD SOF ve CIA harekat merkezi."
"49","Irak - Bağdat ORBI BIAP CJTF-OIR Süleymani Operasyonu","hava","33.2625","44.2346","88","Aktif","DOĞRULANDI | Koordinat: ICAO:ORBI IATA:BGW resmi AIP teyit | Süleymani operasyonu bu lokasyonda Ocak 2020 teyit | CJTF-OIR Inherent Resolve HQ teyit","ACİL KORUMA","12.1","Bağdat Havalimanı ABD askeri bileşeni. Kasım Süleymani operasyonunun icra yeri (Ocak 2020). CJTF-OIR Inherent Resolve Ortak Görev Kuvveti karargahı."
"50","Irak - Al Taji Ortak Askeri Üs İran Milis Saldırı Hedefi","askeri","33.52","44.23","80","Aktif","DOĞRULANDI | Koordinat: Açık kaynak + 2020 İran destekli milis roket saldırısı bu bölgeye medya teyit | Bağdat kuzeyi coğrafi teyit","ÖNCELİKLİ","6.8","Bağdat kuzeyinde Irak-ABD ortak askeri üs. İran bağlantılı milis grupları tarafından defalarca saldırıya uğradı. CJTF-OIR danışmanlık bileşeni."
"51","Ürdün - Muwaffak Salti Azraq Hava Üssü RAF Typhoon","hava","31.8256","36.7892","85","Aktif","DOĞRULANDI | Koordinat: Açık kaynak + RAF rotasyon habercilik teyit | Azraq bölgesi coğrafi teyit | F-16AM/BM ve RAF Typhoon varlığı açık kaynak teyit","ACİL KORUMA","5.4","Azraq yakını ana hava üssü. F-16AM/BM uçakları. İngiliz RAF Typhoon rotasyonu aktif. Suriye sınırı operasyonlarında kritik."
"52","Ürdün - Prens Hassan Hava Üssü Kuzey ABD-Ürdün Ortak","hava","32.16","37.15","85","Aktif","KISMİ DOĞRULAMA | Koordinat: Kuzey Ürdün lokasyonu açık kaynak medya teyit, kesin GPS gizli | F-16D ve A-10 varlığı açık kaynaklarda raporlandı | H4 bölgesi yakını tahmin ediliyor","ACİL KORUMA","6.8","Kuzey Ürdün ABD-Ürdün ortak hava üssü. F-16D ve A-10 uçakları. Suriye ve Irak'a hava operasyonları için kritik. Kesin konum gizli tutulmaktadır."
"53","Ürdün - Aqaba OJAQ Havalimanı ve Kızıldeniz Limanı","liman","29.6112","35.0183","78","Aktif","DOĞRULANDI | Koordinat: ICAO:OJAQ IATA:AQJ resmi AIP teyit | Kızıldeniz girişi Ürdün tek limanı teyit | ABD deniz transit kullanımı açık kaynak teyit","ÖNCELİKLİ","3.8","Kızıldeniz girişinde Ürdün'ün tek limanı. ABD ve müttefik deniz kuvvetleri transit noktası. Süveyş koridorunda stratejik konum."
"54","Suudi Arabistan - Prens Sultan Hava Üssü Al Kharj 378. AHK","hava","24.0625","47.5804","93","Aktif","DOĞRULANDI | Koordinat: USAF açık kaynak + uydu görüntüsü teyit | ABD 378. Hava Seferi Kanadı teyit | F-15E A-10 B-52 varlığı açık kaynak teyit | Riyad güneydoğusu coğrafi teyit","ACİL KORUMA","28.4","Riyad güneydoğusunda ABD-Suudi ortak hava üssü. 378. Hava Seferi Kanadı. F-15E, A-10 ve B-52 uçakları. İran saldırısına karşı kritik Körfez savunma noktası."
